mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu
17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino
15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se
14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
24.0,4,113.0,95.0,2372.0,15.0,70,3,toyota corona mark ii
22.0,6,198.0,95.0,2833.0,15.5,70,1,plymouth duster
18.0,6,199.0,97.0,2774.0,15.5,70,1,amc hornet
27.0,4,97.0,88.0,2130.0,14.5,70,3,datsun pl510
26.0,4,97.0,46.0,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
24.0,4,107.0,90.0,2430.0,14.5,70,2,audi 100 ls
25.0,4,104.0,95.0,2375.0,17.5,70,2,saab 99e
26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002
21.0,6,199.0,90.0,2648.0,15.0,70,1,amc gremlin
10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
27.0,4,97.0,88.0,2130.0,14.5,71,3,datsun pl510
25.0,4,113.0,95.0,2228.0,14.0,71,3,toyota corona
19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii
12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw)
13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw)
19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
28.0,4,116.0,90.0,2123.0,14.0,71,2,opel 1900
24.0,4,113.0,95.0,2278.0,15.5,72,3,toyota corona hardtop
25.0,4,97.5,80.0,2126.0,17.0,72,1,dodge colt hardtop
23.0,4,97.0,54.0,2254.0,23.5,72,2,volkswagen type 3
20.0,4,140.0,90.0,2408.0,19.5,72,1,chevrolet vega
21.0,4,122.0,86.0,2226.0,16.5,72,1,ford pinto runabout
13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
21.0,4,120.0,87.0,2979.0,19.5,72,2,peugeot 504 (sw)
26.0,4,96.0,69.0,2189.0,18.0,72,2,renault 12 (sw)
22.0,4,122.0,86.0,2395.0,16.0,72,1,ford pinto (sw)
28.0,4,98.0,80.0,2164.0,15.0,72,1,dodge colt (sw)
27.0,4,97.0,88.0,2100.0,16.5,72,3,toyota corolla 1600 (sw)
13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
14.0,8,304.0,150.0,3672.0,11.5,73,1,amc matador
12.0,8,429.0,198.0,4952.0,11.5,73,1,mercury marquis brougham
13.0,8,400.0,150.0,4464.0,12.0,73,1,chevrolet caprice classic
13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
16.0,6,250.0,100.0,3278.0,18.0,73,1,chevrolet nova custom
18.0,6,232.0,100.0,2945.0,16.0,73,1,amc hornet
18.0,6,250.0,88.0,3021.0,16.5,73,1,ford maverick
23.0,6,198.0,95.0,2904.0,16.0,73,1,plymouth duster
11.0,8,400.0,150.0,4997.0,14.0,73,1,chevrolet impala
12.0,8,350.0,180.0,4499.0,12.5,73,1,oldsmobile vista cruiser
18.0,6,232.0,100.0,2789.0,15.0,73,1,amc gremlin
21.0,4,140.0,72.0,2401.0,19.5,73,1,chevrolet vega
22.0,4,108.0,94.0,2379.0,16.5,73,3,datsun 610
18.0,3,70.0,90.0,2124.0,13.5,73,3,maxda rx3
19.0,4,122.0,85.0,2310.0,18.5,73,1,ford pinto
24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta
20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii
11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster
19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet
26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto
25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega
16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic
16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador
18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring
13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw)
14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw)
26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta
31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona
32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710
28.0,4,90.0,75.0,2125.0,14.5,74,1,dodge colt
24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128
26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru
31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9
18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova
15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch
15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick
15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air
17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century
15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador
13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii
23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto
20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin
23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro
