,Name,IPEDS#,Carm R1,HBC,% Blk Total Students,% Hisp Total Students,2017 US News top 65,2014 Med School,Vet School, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards,Wall St. Jourl Rank, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),AG Research ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans,% UG Age 25 +,% Total Age 25 +, % Full-Time ,Faculty Academy Memb, UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,Profess Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Med School Res $,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
0,Univ. of Tennessee - Knoxville,221759,1,No, 7 , 3 ,46,,x," 27,845 ", 21 , 70 , 27.0 , 76 , 85 , 29 , 69 , 8 ,"$966,312,187","$46,674","$296,797,701","$268,584,809",23,21,44,"$597,474,890"," $240,592 ", 17 ," 1,731 ", 11 ,253," 25,590 "," 6,755 ","$1,194,401,634","$1,285,481,361","$23,224"," $240,592 "," $1,274 "," 1,123 "," 1,594 ", 44 , 7 , 21 , 88 , 5 ," 21,863 "," 5,982 "," 24,463 "," 3,382 "," 1,638 "," 4,245 "," 4,632 "," 1,551 ", 353 , 219 , 24 , 30 ,"$22,094", $-   ," $782,734,414 ","$30,587","$782,734,414","$30,587"," 1,526 "," 1,117 "
1,Univ. of Georgia,139959,1,No, 8 , 5 ,18,,x," 36,130 ", 24 , 85 , 27.5 , 53 , 95 , 20 , 75 , 9 ,"$1,137,484,065","$39,163","$400,083,488","$401,047,785",27,27,54,"$1,016,731,788"," $374,264 ", 18 ," 2,245 ", 8 ,245," 33,741 "," 9,937 ","$1,321,399,791","$1,475,768,192","$29,295"," $374,264 "," $79,815 "," 1,606 "," 2,028 ", 38 , 3 , 19 , 90 , 6 ," 27,547 "," 8,583 "," 32,546 "," 3,584 ", 938 ," 5,781 "," 7,447 "," 1,598 ", 467 , 425 , 25 , 30 ,"$23,744", $-   ," $939,024,216 ","$27,831","$939,024,216","$27,831"," 1,918 "," 1,606 "
2,Purdue Univ.,243780,1,No, 3 , 4 ,20,,x," 40,472 ", 24 , 75 , 26.5 , 59 , 92 , 17 , 72 , 9 ,"$1,381,693,913","$44,341","$305,080,282","$624,529,024",17,34,51,"$2,255,000,000"," $558,611 ", 12 ," 1,864 ", 14 ,37," 36,844 "," 10,245 ","$1,633,695,271","$1,814,728,285","$39,927"," $558,611 "," $120,012 "," 1,747 "," 2,070 ", 33 , 4 , 20 , 87 , 27 ," 30,560 "," 9,912 "," 35,030 "," 5,442 "," 1,369 "," 6,710 "," 7,346 "," 1,859 ", 717 , 256 , 23 , 30 ,"$25,231", $-   ," $2,445,541,926 ","$66,376","$2,445,541,926","$66,376"," 1,783 "," 1,700 "
3,Texas A&M Univ. ,228723,1,No, 3 , 19 ,27,pre clin,x," 63,813 ", 23 , 79 , 26.0 , 67 , 90 , 24 , 71 , 10 ,"$2,325,612,600","$48,196","$1,145,743,188","$568,219,956",37,18,55,"$9,944,935,710"," $866,678 ", 20 ," 3,579 ", 18 ,80," 58,252 "," 14,647 ","$2,807,502,613","$3,106,852,015","$169,313"," $814,620 "," $181,658 "," 2,061 "," 3,182 ", 33 , 3 , 18 , 87 , 24 ," 48,959 "," 14,854 "," 55,471 "," 8,342 "," 1,532 "," 9,977 "," 10,449 "," 2,710 ", 758 , 730 , 23 , 29 ,"$29,423"," $52,058 "," $10,521,034,492 ","$180,613","$10,521,034,492","$180,613"," 2,983 "," 1,995 "
4,Michigan State Univ.,171100,1,No, 7 , 4 ,33,x,x," 50,538 ", 23 , 77 , 25.5 , 66 , 92 , 21 , 71 , 10 ,"$1,761,182,407","$47,701","$264,429,100","$796,953,689",11,33,44,"$2,591,886,153"," $558,248 ", 17 ," 3,076 ", 16 ,63," 46,197 "," 11,641 ","$2,203,615,657","$2,409,680,754","$58,872"," $505,654 "," $104,617 "," 1,831 "," 2,948 ", 45 , 3 , 19 , 87 , 12 ," 39,143 "," 11,395 "," 44,026 "," 6,512 "," 1,262 "," 8,167 "," 8,299 "," 2,138 ", 577 , 627 , 23 , 28 ,"$22,975"," $52,594 "," $2,549,137,018 ","$55,180","$2,549,137,018","$55,180"," 2,616 "," 1,811 "
5,Univ. of Minnesota ,174066,1,No, 4 , 3 ,26,x,x," 50,678 ", 33 , 77 , 28.5 , 45 , 93 , 20 , 63 , 13 ,"$2,654,252,526","$70,137","$565,807,305","$622,508,322",18,20,38,"$3,268,184,653"," $880,618 ", 17 ," 3,760 ", 32 ,110," 42,805 "," 13,521 ","$3,002,216,917","$3,093,036,263","$53,913"," $635,400 "," $89,171 "," 2,363 "," 3,860 ", 42 , 10 , 31 , 77 , 40 ," 34,071 "," 16,607 "," 38,869 "," 11,809 "," 3,496 "," 12,448 "," 8,452 "," 3,308 ", 725 ," 1,036 ", 26 , 31 ,"$27,761"," $245,218 "," $2,992,707,059 ","$69,914","$2,992,707,059","$69,914"," 3,096 "," 2,191 "
6,Clemson Univ.,,1,No, 6 , 3 ,23,,," 22,698 ", 21 , 81 , 29.0 , 51 , 93 , 15 , 72 , 4 ,"$693,048,280","$40,436","$106,344,796","$316,893,164",13,39,53,#N/A," $171,215 ", 18 ," 1,263 ", 4 ,207," 20,983 "," 5,351 ","$848,463,389","$804,913,728",#N/A," $171,215 "," $12,506 ", 882 ," 1,177 ", 43 , 4 , 18 , 89 , 2 ," 18,016 "," 4,682 "," 20,125 "," 2,573 ", 696 ," 3,283 "," 3,844 "," 1,270 ", 237 , -   , 27 , 31 ,"$20,171", $-   ," $836,151,997 ","$39,850","$836,151,997","$39,850"," 1,134 ", 878 
7,Indiana Univ. ,151351,1,No, 4 , 5 ,36,,," 48,514 ", 21 , 77 , 26.0 , 78 , 89 , 18 , 70 , 7 ,"$1,152,460,573","$35,951","$211,850,535","$705,286,278",14,47,61,"$1,986,645,862"," $485,076 ", 17 ," 2,316 ", 17 ,129," 41,507 "," 11,116 ","$1,492,193,010","$1,511,178,406","$23,496"," $198,150 ",," 1,348 "," 2,110 ", 32 , 2 , 17 , 78 , 8 ," 38,364 "," 10,150 "," 38,003 "," 10,511 ", 835 ," 7,277 "," 7,798 "," 2,487 ", 538 , 279 , 23 , 29 ,"$22,096"," $286,926 "," $961,053,869 ","$23,154","$961,053,869","$23,154"," 1,995 "," 1,348 "
8,Rutgers Univ. ,186380,1,No, 8 , 12 ,25,x,," 49,428 ", 28 , 80 , 27.0 , 58 , 93 , 28 , 65 , 11 ,"$1,974,609,000","$67,818","$680,668,000","$654,304,000",22,21,43,"$1,076,777,714"," $628,613 ", 15 ," 5,694 ", 20 ,110," 44,562 "," 11,707 ","$3,022,117,000","$3,123,546,000","$18,230"," $509,678 "," $31,354 "," 1,767 "," 4,004 ", 52 , 8 , 25 , 85 , 36 ," 35,484 "," 13,944 "," 42,129 "," 7,299 "," 2,777 "," 9,708 "," 7,569 "," 2,780 ", 597 , 656 , 24 , 30 ,"$29,958"," $118,935 "," $763,561,000 ","$17,135","$763,561,000","$17,135"," 3,158 "," 1,753 "
9,Auburn Univ.,100858,2,No, 7 , 3 ,43,,x," 27,287 ", 20 , 73 , 27.0 , 78 , 90 , 14 , 74 , 8 ,"$713,358,897","$35,990","$222,838,374","$363,014,113",23,37,60,"$703,759,237"," $135,899 ", 19 ," 1,399 ", 1 ,273," 24,372 "," 6,264 ","$877,156,995","$974,160,311","$28,723"," $135,899 "," $56,845 "," 1,021 "," 1,277 ", 35 , 4 , 16 , 84 , 1 ," 21,786 "," 5,501 "," 22,915 "," 4,372 ", 931 ," 3,564 "," 4,638 "," 1,107 ", 257 , 262 , 24 , 30 ,"$24,038", $-   ," $593,270,763 ","$24,342","$593,270,763","$24,342"," 1,216 ", 996 
