18-Ar-40(n,total) ENDF/B-VII.1
1.0E-5,39.1657
1.31241E-5,34.196
1.70876E-5,29.9779
2.2426E-5,26.1784
2.91987E-5,22.9542
3.83206E-5,20.0506
4.98935E-5,17.5874
6.54808E-5,15.3701
8.52562E-5,13.4901
1.11891E-4,11.7988
1.45682E-4,10.3659
1.91195E-4,9.0783
2.48937E-4,7.98877
3.26707E-4,7.01101
4.25373E-4,6.18526
5.58264E-4,5.44577
7.26861E-4,4.82263
9.53941E-4,4.26571
0.00124203,3.7972
0.00163006,3.37924
0.00212234,3.02787
0.00303344,2.6251
0.00433567,2.29202
0.00619694,2.01642
0.00885724,1.78774
0.0126596,1.59794
0.0180942,1.44015
0.0234661,1.34235
0.0253,1.31634
0.0396964,1.18057
0.0617907,1.07388
0.105586,0.973336
0.18042,0.896097
0.338436,0.828661
0.691383,0.773607
1.68858,0.727483
4.92486,0.69336
19.8134,0.666445
149.352,0.630661
639.996,0.580018
1706.62,0.534625
4437.16,0.49089
11087.8,0.436776
11161.1,0.444048
11166.5,0.459607
11168.3,0.490692
11169.4,0.538333
11170.2,0.612777
11171.0,0.708807
11171.7,0.851271
11172.4,1.04993
11173.1,1.33711
11173.8,1.72063
11174.6,2.27255
11175.7,3.17138
11178.8,6.42756
11180.0,7.22857
11181.0,7.4752
11182.1,7.21527
11183.4,6.28037
11186.5,3.00197
11187.5,2.18697
11188.3,1.65436
11189.0,1.2869
11189.7,1.02646
11190.4,0.836557
11191.1,0.70274
11191.8,0.611463
11192.6,0.541749
11193.4,0.500744
11194.6,0.471007
11196.9,0.451366
11202.7,0.442461
11345.2,0.434714
17836.7,0.387632
17925.9,0.390972
17949.1,0.405225
17954.2,0.421818
17956.6,0.449028
17958.3,0.495694
17959.4,0.561654
17960.3,0.642408
17961.2,0.762753
17962.1,0.937451
17963.0,1.18353
17963.9,1.51883
17964.8,2.01282
17965.9,2.68485
17967.2,3.76824
17971.0,7.59635
17972.6,8.69899
17974.0,9.02298
17975.4,8.69169
17976.8,7.72381
17979.4,5.13121
17981.1,3.50082
17982.3,2.53911
17983.3,1.92517
17984.2,1.51262
17985.0,1.19449
17985.8,0.956936
17986.7,0.77679
17987.7,0.647009
17988.6,0.561581
17989.5,0.506656
17991.0,0.457492
17992.5,0.43373
17996.3,0.411683
18002.7,0.400217
18043.1,0.387934
32086.8,0.264688
40385.7,0.175407
51003.4,0.0462376
52842.0,0.0264275
53933.8,0.0162641
54689.7,0.0103435
55151.6,0.00725997
55529.6,0.00506512
55865.5,0.00343576
56134.3,0.00235412
56316.1,0.00175069
56473.0,0.00130596
56639.5,9.31301E-4
56755.3,7.31386E-4
56841.1,6.09607E-4
56934.2,5.12847E-4
57023.4,4.51872E-4
57102.4,4.24698E-4
57147.6,4.19959E-4
57231.5,4.35581E-4
57316.1,4.82748E-4
57400.8,5.59862E-4
57496.6,6.88211E-4
57595.7,8.68308E-4
57679.6,0.00105962
57800.9,0.00139739
57933.5,0.00185977
58082.8,0.00250898
58252.3,0.00342391
58441.9,0.00473319
58603.5,0.00617415
58744.6,0.00784515
58845.4,0.00946307
58932.7,0.0114787
58991.5,0.0134849
59041.9,0.0160569
59083.9,0.0193695
59113.3,0.0228931
59134.3,0.0264824
59154.9,0.031438
59172.5,0.0375291
59188.9,0.045714
59202.1,0.0552265
59214.5,0.0680556
59224.8,0.0834491
59233.6,0.102214
59241.4,0.125602
59247.7,0.152016
59254.0,0.189357
59259.0,0.230873
59263.3,0.280086
59267.4,0.34661
59271.0,0.428733
59273.7,0.520674
59276.2,0.638744
59278.5,0.789386
59280.5,0.976776
59282.5,1.22472
59284.1,1.51481
59285.8,1.89566
59287.6,2.43263
59289.4,3.11202
59291.6,4.18872
59293.9,5.65897
59297.2,8.31505
59303.2,13.4792
59306.0,15.1512
59308.9,15.8138
59309.0,15.8141
59311.6,15.3292
59314.7,13.544
59320.8,8.3547
59324.1,5.67564
59326.4,4.20131
59328.5,3.16697
