7-N-15(n,total) ENDF/B-VII.1
1.0E-5,65.8682
1.31241E-5,57.5308
1.70876E-5,50.4572
2.2426E-5,44.0889
2.91987E-5,38.6886
3.83206E-5,33.8299
4.98935E-5,29.7129
6.54808E-5,26.0127
8.52562E-5,22.8817
1.11891E-4,20.0728
1.45682E-4,17.7014
1.91195E-4,15.5803
2.48937E-4,13.7966
3.26707E-4,12.2091
4.25373E-4,10.8826
5.58264E-4,9.71168
7.26861E-4,8.74336
0.0010389,7.66398
0.00148489,6.81412
0.00212234,6.15816
0.00303344,5.66349
0.00475955,5.22237
0.00813293,4.89063
0.0166146,4.64866
0.0234661,4.57922
0.0253,4.56669
0.105586,4.43009
3.14234,4.33874
338.147,4.2525
47821.2,4.15635
119553.0,4.08886
439106.0,3.38733
850000.0,2.74465
900000.0,2.81785
907120.0,2.98587
917220.0,4.06621
920620.0,4.78844
922330.0,4.96509
925562.0,4.63415
930950.0,3.69939
944100.0,2.92945
950000.0,2.82924
975000.0,2.67039
1090000.0,2.48225
1093940.0,2.81924
1094500.0,3.21248
1095000.0,3.89013
1095600.0,4.28108
1096420.0,3.3983
1096700.0,3.15683
1098400.0,2.68516
1100000.0,2.58294
1150000.0,2.42135
1525000.0,2.10063
1550200.0,2.11455
1558600.0,2.27909
1560400.0,2.49291
1563300.0,3.32524
1565440.0,2.75825
1569000.0,2.22776
1600000.0,2.05664
1800000.0,1.98151
1890000.0,2.00494
1920000.0,2.09929
1930000.0,2.20777
1941800.0,2.52375
1949600.0,2.8256
1952300.0,2.85782
1956150.0,2.75493
1965000.0,2.30157
1972500.0,2.0388
1985000.0,1.79395
2007500.0,1.44105
2025000.0,1.11638
2031700.0,1.0494
2035000.0,1.04052
2040000.0,1.07107
2047500.0,1.19705
2055000.0,1.36632
2100000.0,2.04736
2150000.0,2.30054
2275000.0,2.7501
2300000.0,2.85864
2350000.0,3.27372
2405000.0,4.06235
2420000.0,4.14448
2445000.0,3.96495
2487500.0,3.45015
2525000.0,3.1558
2575000.0,2.99645
2625000.0,2.96913
2700000.0,3.02838
2710000.0,2.90061
2720000.0,2.54764
2726500.0,2.3287
2732400.0,2.27046
2765000.0,2.63695
2800000.0,2.87684
2810000.0,3.02056
2815000.0,3.17724
2821900.0,3.68026
2830000.0,4.70104
2831100.0,4.71704
2837780.0,4.09772
2840000.0,3.85325
2845000.0,3.52022
2850000.0,3.34158
2860000.0,3.18179
2890000.0,3.08813
2901250.0,3.1786
2905000.0,3.29912
2913500.0,4.36253
2915750.0,4.28471
2920000.0,3.87102
2925000.0,3.58585
2935000.0,3.38843
2970000.0,3.2924
3050000.0,3.15459
3225000.0,2.3642
3440000.0,1.62807
3452500.0,1.67055
3465000.0,1.8271
3477500.0,1.9835
3485000.0,2.01645
3550000.0,1.77862
3600000.0,1.71706
3700000.0,1.94827
3750000.0,1.88467
3954800.0,1.39776
3962400.0,1.39329
3977500.0,1.4429
3987500.0,1.57115
4005000.0,1.97675
4010000.0,2.07688
4016400.0,2.10866
4056000.0,1.86398
4067600.0,1.84434
4085000.0,1.9015
4100000.0,2.05875
4120000.0,2.51945
4130000.0,2.76267
4140000.0,2.84785
4155000.0,2.6696
4180000.0,2.29277
4200000.0,2.15314
4214000.0,2.12604
4245000.0,2.2108
4286600.0,2.40991
4295200.0,2.41862
4325000.0,2.31938
4387500.0,1.96935
4425000.0,1.86405
4450000.0,1.81079
4500000.0,1.79646
4668300.0,1.9585
4686600.0,1.96518
4762500.0,1.89955
4775000.0,1.87538
4791200.0,2.11896
4796600.0,2.26566
4807050.0,1.9577
4835000.0,1.8582
5025000.0,1.49732
5050600.0,2.48144
