    energy_high   particles error
    1.0000E-01   1.13517E+05 0.0748
    6.0000E-01   2.01520E+05 0.0382
    6.5000E-01   1.08112E+04 0.1378
    7.0000E-01   1.18923E+04 0.1311
    7.5000E-01   8.86516E+03 0.1529
    8.0000E-01   9.08138E+03 0.1510
    8.5000E-01   6.27048E+03 0.1830
    9.0000E-01   7.13537E+03 0.1712
    9.5000E-01   5.62181E+03 0.1935
    1.0000E+00   6.48670E+03 0.1798
    1.0500E+00   6.27048E+03 0.1830
    1.1000E+00   4.75691E+03 0.2108
    1.1500E+00   3.24335E+03 0.2563
    1.2000E+00   4.97314E+03 0.2061
    1.2500E+00   4.10824E+03 0.2272
    1.3000E+00   3.67580E+03 0.2405
    1.3500E+00   2.59468E+03 0.2869
    1.4000E+00   2.81090E+03 0.2755
    1.4500E+00   3.89202E+03 0.2336
    1.5000E+00   2.16223E+03 0.3146
    2.0000E+00   6.48670E+02 0.5765
    2.5000E+00   1.29734E+03 0.4070
    3.0000E+00   2.16223E+02 0.9995
    3.5000E+00   8.64894E+02 0.4990
    4.0000E+00   2.16223E+02 0.9995
    4.5000E+00   0.00000E+00 0.0000
    5.0000E+00   0.00000E+00 0.0000
    5.5000E+00   2.16223E+02 0.9995
    6.0000E+00   0.00000E+00 0.0000
    6.5000E+00   0.00000E+00 0.0000
    7.0000E+00   0.00000E+00 0.0000
    7.5000E+00   0.00000E+00 0.0000
    8.0000E+00   0.00000E+00 0.0000
    8.5000E+00   0.00000E+00 0.0000
    9.0000E+00   0.00000E+00 0.0000
    9.5000E+00   0.00000E+00 0.0000
    1.0000E+01   0.00000E+00 0.0000
    1.0500E+01   0.00000E+00 0.0000
