    time   neutrons error
    1.0000E-01   0.00000E+00 0.0000
    1.1000E+00   0.00000E+00 0.0000
    2.1000E+00   0.00000E+00 0.0000
    3.1000E+00   5.70000E+03 0.1286
    4.1000E+00   1.77000E+04 0.0682
    5.1000E+00   2.23000E+04 0.0590
    6.1000E+00   1.58996E+04 0.0727
    7.1000E+00   1.12964E+04 0.0886
    8.1000E+00   7.19494E+03 0.1135
    9.1000E+00   4.99443E+03 0.1378
    1.0100E+01   3.79719E+03 0.1591
    1.1100E+01   3.09974E+03 0.1768
    1.2100E+01   2.77661E+03 0.1865
    1.3100E+01   1.49806E+03 0.2563
    1.4100E+01   2.08773E+03 0.2160
    1.5100E+01   1.49907E+03 0.2563
    1.6100E+01   6.99982E+02 0.3766
    1.7100E+01   1.09989E+03 0.2998
    1.8100E+01   4.99973E+02 0.4461
    1.9100E+01   1.29900E+03 0.2755
    2.0100E+01   4.99987E+02 0.4461
    2.1100E+01   8.99607E+02 0.3318
    2.2100E+01   3.99986E+02 0.4990
    2.3100E+01   6.99942E+02 0.3766
    2.4100E+01   4.99986E+02 0.4461
    2.5100E+01   5.99976E+02 0.4070
    2.6100E+01   9.99900E+01 0.9995
    2.7100E+01   2.99995E+02 0.5765
    2.8100E+01   4.99966E+02 0.4461
    2.9100E+01   1.99989E+02 0.7064
    3.0100E+01   9.99930E+01 0.9995
    3.1100E+01   3.99967E+02 0.4990
    3.2100E+01   0.00000E+00 0.0000
    3.3100E+01   6.99924E+02 0.3766
    3.4100E+01   2.99988E+02 0.5765
    3.5100E+01   3.99965E+02 0.4990
    3.6100E+01   1.86902E+02 0.7081
    3.7100E+01   9.99977E+01 0.9995
    3.8100E+01   1.99992E+02 0.7064
    3.9100E+01   2.99961E+02 0.5765
    4.0100E+01   0.00000E+00 0.0000
    4.1100E+01   9.99967E+01 0.9995
    4.2100E+01   1.99985E+02 0.7064
    4.3100E+01   1.99977E+02 0.7064
    4.4100E+01   9.97416E+01 0.9995
    4.5100E+01   0.00000E+00 0.0000
    4.6100E+01   9.99973E+01 0.9995
    4.7100E+01   1.99964E+02 0.7064
    4.8100E+01   1.99997E+02 0.7064
    4.9100E+01   0.00000E+00 0.0000
    5.0100E+01   1.99992E+02 0.7064
