nps    x          y          z          cell       surf     u          v          w        energy     weight      time
      1  0.000E+00  0.000E+00  0.000E+00        1          0  2.566E-01  6.731E-01  6.936E-01  3.352E+00  2.162E+05  0.000E+00
      2  0.000E+00  0.000E+00  0.000E+00        1          0  9.530E-01  1.832E-01 -2.413E-01  3.339E-01  2.162E+05  0.000E+00
      3  0.000E+00  0.000E+00  0.000E+00        1          0 -6.184E-01 -4.495E-01  6.446E-01  1.521E+00  2.162E+05  0.000E+00
      4  0.000E+00  0.000E+00  0.000E+00        1          0 -8.276E-01 -1.542E-01 -5.398E-01  6.083E-01  2.162E+05  0.000E+00
      5  0.000E+00  0.000E+00  0.000E+00        1          0  5.861E-01  1.496E-01 -7.963E-01  5.936E-01  2.162E+05  0.000E+00
      6  0.000E+00  0.000E+00  0.000E+00        1          0 -8.262E-01  4.814E-01  2.925E-01  1.221E+00  2.162E+05  0.000E+00
      7  0.000E+00  0.000E+00  0.000E+00        1          0  3.703E-02  9.959E-01  8.298E-02  6.770E-01  2.162E+05  0.000E+00
      8  0.000E+00  0.000E+00  0.000E+00        1          0 -4.714E-01 -6.124E-01 -6.346E-01  7.325E-01  2.162E+05  0.000E+00
      9  0.000E+00  0.000E+00  0.000E+00        1          0  4.995E-01 -1.108E-01  8.592E-01  1.979E+00  2.162E+05  0.000E+00
     10  0.000E+00  0.000E+00  0.000E+00        1          0 -4.993E-01 -5.038E-01 -7.050E-01  1.260E+00  2.162E+05  0.000E+00
     11  0.000E+00  0.000E+00  0.000E+00        1          0 -4.723E-01  5.705E-01  6.719E-01  3.239E-01  2.162E+05  0.000E+00
     12  0.000E+00  0.000E+00  0.000E+00        1          0 -8.354E-03  9.954E-01  9.552E-02  9.598E-01  2.162E+05  0.000E+00
     13  0.000E+00  0.000E+00  0.000E+00        1          0  1.374E-01  3.418E-02  9.899E-01  4.293E-01  2.162E+05  0.000E+00
     14  0.000E+00  0.000E+00  0.000E+00        1          0  5.151E-01 -8.011E-02  8.534E-01  7.200E-01  2.162E+05  0.000E+00
     15  0.000E+00  0.000E+00  0.000E+00        1          0 -2.959E-01  2.119E-01  9.314E-01  6.496E+00  2.162E+05  0.000E+00
     16  0.000E+00  0.000E+00  0.000E+00        1          0  1.395E-01 -9.829E-01  1.202E-01  3.675E+00  2.162E+05  0.000E+00
