energy,particles,error
0.0000E+00,5.71931E-03,0.0016
1.0000E-05,5.61750E-03,0.0016
2.0000E-02,1.99265E-03,0.0025
4.0000E-02,1.66453E-03,0.0026
6.0000E-02,1.25819E-03,0.0029
8.0000E-02,9.76774E-04,0.0033
1.0000E-01,7.83823E-04,0.0036
1.2000E-01,6.50966E-04,0.0040
1.4000E-01,5.48847E-04,0.0043
1.6000E-01,4.69143E-04,0.0047
1.8000E-01,4.06992E-04,0.0050
2.0000E-01,3.52487E-04,0.0054
2.2000E-01,3.06561E-04,0.0058
2.4000E-01,2.65147E-04,0.0062
2.6000E-01,2.35446E-04,0.0066
2.8000E-01,2.13597E-04,0.0070
3.0000E-01,1.90959E-04,0.0075
3.2000E-01,1.78936E-04,0.0076
3.4000E-01,1.66950E-04,0.0079
3.6000E-01,1.62304E-04,0.0081
3.8000E-01,1.54815E-04,0.0083
4.0000E-01,1.47935E-04,0.0085
4.2000E-01,1.43363E-04,0.0086
4.4000E-01,1.34368E-04,0.0091
4.6000E-01,1.24262E-04,0.0092
4.8000E-01,1.15154E-04,0.0096
5.0000E-01,1.07578E-04,0.0101
5.2000E-01,9.89163E-05,0.0105
5.4000E-01,9.21450E-05,0.0108
5.6000E-01,8.33780E-05,0.0111
5.8000E-01,7.94493E-05,0.0117
6.0000E-01,7.49162E-05,0.0123
6.2000E-01,7.15221E-05,0.0123
6.4000E-01,6.91811E-05,0.0124
6.6000E-01,6.60330E-05,0.0130
6.8000E-01,6.25720E-05,0.0131
7.0000E-01,6.39090E-05,0.0136
7.2000E-01,6.00890E-05,0.0140
7.4000E-01,5.79890E-05,0.0139
7.6000E-01,5.53830E-05,0.0148
7.8000E-01,5.22560E-05,0.0146
8.0000E-01,5.02681E-05,0.0154
8.2000E-01,4.74850E-05,0.0156
8.4000E-01,4.72540E-05,0.0159
8.6000E-01,4.40210E-05,0.0160
8.8000E-01,4.35130E-05,0.0163
9.0000E-01,4.18940E-05,0.0174
9.2000E-01,4.01970E-05,0.0172
9.4000E-01,3.91160E-05,0.0178
9.6000E-01,3.81100E-05,0.0173
9.8000E-01,3.77320E-05,0.0176
1.0000E+00,3.77551E-05,0.0188
1.0200E+00,3.68800E-05,0.0183
1.0400E+00,3.75540E-05,0.0177
1.0600E+00,3.54450E-05,0.0183
1.0800E+00,3.72470E-05,0.0180
