energy,particles,error
0.0000E+00,2.66840E-05,0.0236
1.0000E-05,2.69870E-05,0.0234
2.0000E-02,2.32500E-06,0.0661
4.0000E-02,2.93900E-06,0.0570
6.0000E-02,5.71200E-06,0.0368
8.0000E-02,9.74000E-06,0.0258
1.0000E-01,1.26060E-05,0.0217
1.2000E-01,1.35300E-05,0.0203
1.4000E-01,1.29620E-05,0.0202
1.6000E-01,1.13560E-05,0.0226
1.8000E-01,9.74000E-06,0.0219
2.0000E-01,8.89300E-06,0.0233
2.2000E-01,8.14530E-06,0.0239
2.4000E-01,7.45020E-06,0.0241
2.6000E-01,6.83650E-06,0.0256
2.8000E-01,6.36440E-06,0.0267
3.0000E-01,5.76540E-06,0.0273
3.2000E-01,5.39640E-06,0.0293
3.4000E-01,5.23940E-06,0.0363
3.6000E-01,4.70220E-06,0.0314
3.8000E-01,3.66800E-06,0.0330
4.0000E-01,2.84000E-06,0.0425
4.2000E-01,2.52000E-06,0.0450
4.4000E-01,2.33100E-06,0.0494
4.6000E-01,1.97700E-06,0.0477
4.8000E-01,1.90000E-06,0.0496
5.0000E-01,1.81300E-06,0.0518
5.2000E-01,1.78400E-06,0.0544
5.4000E-01,1.62600E-06,0.0515
5.6000E-01,1.63500E-06,0.0503
5.8000E-01,2.07700E-06,0.0435
6.0000E-01,2.37900E-06,0.0431
6.2000E-01,2.33800E-06,0.0391
6.4000E-01,1.82920E-06,0.0416
6.6000E-01,1.40720E-06,0.0589
6.8000E-01,1.15420E-06,0.0638
7.0000E-01,8.45400E-07,0.0710
7.2000E-01,8.58000E-07,0.0729
7.4000E-01,9.05400E-07,0.0787
7.6000E-01,1.01020E-06,0.0750
7.8000E-01,8.75000E-07,0.0735
8.0000E-01,7.84000E-07,0.0799
8.2000E-01,7.77000E-07,0.0843
8.4000E-01,6.23000E-07,0.0975
8.6000E-01,6.65000E-07,0.0875
8.8000E-01,7.81000E-07,0.0896
9.0000E-01,9.21000E-07,0.0725
9.2000E-01,8.07000E-07,0.0726
9.4000E-01,9.38000E-07,0.0757
9.6000E-01,7.83000E-07,0.0803
9.8000E-01,7.07000E-07,0.0889
1.0000E+00,7.23000E-07,0.0950
1.0200E+00,5.47000E-07,0.1101
1.0400E+00,3.98000E-07,0.1176
1.0600E+00,4.09000E-07,0.1380
1.0800E+00,4.11000E-07,0.1124
1.1000E+00,4.76000E-07,0.1084
1.1200E+00,4.81000E-07,0.0999
1.1400E+00,5.16000E-07,0.1142
1.1600E+00,4.33000E-07,0.1072
1.1800E+00,4.51000E-07,0.1290
1.2000E+00,3.99000E-07,0.1276
1.2200E+00,3.51000E-07,0.1288
1.2400E+00,3.59000E-07,0.1266
1.2600E+00,3.09000E-07,0.1414
1.2800E+00,2.98000E-07,0.1469
1.3000E+00,2.73000E-07,0.1431
1.3200E+00,2.65000E-07,0.1535
1.3400E+00,2.89000E-07,0.1501
1.3600E+00,3.04000E-07,0.1396
1.3800E+00,3.01000E-07,0.1136
1.4000E+00,3.00000E-07,0.0877
1.4200E+00,5.23000E-07,0.0734
1.4400E+00,6.34000E-07,0.0563
1.4600E+00,7.66000E-07,0.0518
1.4800E+00,7.50000E-07,0.0526
1.5000E+00,6.46000E-07,0.0523
1.5200E+00,4.98000E-07,0.0851
1.5400E+00,2.73000E-07,0.1002
1.5600E+00,1.64000E-07,0.1302
