Description	
Number of Runs	40
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	44	10	02/02/17 07:35:19 PM	
2	880	39	10	02/02/17 07:35:29 PM	
3	880	26	10	02/02/17 07:35:39 PM	
4	880	50	10	02/02/17 07:35:50 PM	
5	880	42	10	02/02/17 07:36:00 PM	
6	880	45	10	02/02/17 07:36:10 PM	
7	880	29	10	02/02/17 07:36:20 PM	
8	880	36	10	02/02/17 07:36:31 PM	
9	880	31	10	02/02/17 07:36:41 PM	
10	880	39	10	02/02/17 07:36:51 PM	
11	880	34	10	02/02/17 07:37:01 PM	
12	880	39	10	02/02/17 07:37:12 PM	
13	880	27	10	02/02/17 07:37:22 PM	
14	880	45	10	02/02/17 07:37:32 PM	
15	880	44	10	02/02/17 07:37:42 PM	
16	880	42	10	02/02/17 07:37:53 PM	
17	880	47	10	02/02/17 07:38:03 PM	
18	880	37	10	02/02/17 07:38:13 PM	
19	880	35	10	02/02/17 07:38:23 PM	
20	880	44	10	02/02/17 07:38:34 PM	
21	880	53	10	02/02/17 07:38:44 PM	
22	880	32	10	02/02/17 07:38:54 PM	
23	880	41	10	02/02/17 07:39:04 PM	
24	880	36	10	02/02/17 07:39:15 PM	
25	880	39	10	02/02/17 07:39:25 PM	
26	880	43	10	02/02/17 07:39:35 PM	
27	880	39	10	02/02/17 07:39:45 PM	
28	880	47	10	02/02/17 07:39:56 PM	
29	880	30	10	02/02/17 07:40:06 PM	
30	880	39	10	02/02/17 07:40:16 PM	
31	880	45	10	02/02/17 07:40:26 PM	
32	880	36	10	02/02/17 07:40:36 PM	
33	880	41	10	02/02/17 07:40:47 PM	
34	880	49	10	02/02/17 07:40:57 PM	
35	880	33	10	02/02/17 07:41:07 PM	
36	880	42	10	02/02/17 07:41:17 PM	
37	880	37	10	02/02/17 07:41:27 PM	
38	880	49	10	02/02/17 07:41:38 PM	
39	880	41	10	02/02/17 07:41:48 PM	
40	880	48	10	02/02/17 07:41:58 PM	
