Description	
Number of Runs	40
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	76	10	02/02/17 07:25:04 PM	
2	880	94	10	02/02/17 07:25:14 PM	
3	880	81	10	02/02/17 07:25:25 PM	
4	880	84	10	02/02/17 07:25:35 PM	
5	880	95	10	02/02/17 07:25:45 PM	
6	880	110	10	02/02/17 07:25:55 PM	
7	880	91	10	02/02/17 07:26:06 PM	
8	880	120	10	02/02/17 07:26:16 PM	
9	880	95	10	02/02/17 07:26:26 PM	
10	880	87	10	02/02/17 07:26:36 PM	
11	880	83	10	02/02/17 07:26:47 PM	
12	880	92	10	02/02/17 07:26:57 PM	
13	880	89	10	02/02/17 07:27:07 PM	
14	880	91	10	02/02/17 07:27:17 PM	
15	880	99	10	02/02/17 07:27:27 PM	
16	880	116	10	02/02/17 07:27:38 PM	
17	880	86	10	02/02/17 07:27:48 PM	
18	880	92	10	02/02/17 07:27:58 PM	
19	880	89	10	02/02/17 07:28:09 PM	
20	880	109	10	02/02/17 07:28:19 PM	
21	880	85	10	02/02/17 07:28:29 PM	
22	880	108	10	02/02/17 07:28:39 PM	
23	880	88	10	02/02/17 07:28:49 PM	
24	880	80	10	02/02/17 07:29:00 PM	
25	880	90	10	02/02/17 07:29:10 PM	
26	880	88	10	02/02/17 07:29:20 PM	
27	880	117	10	02/02/17 07:29:30 PM	
28	880	92	10	02/02/17 07:29:40 PM	
29	880	111	10	02/02/17 07:29:51 PM	
30	880	87	10	02/02/17 07:30:01 PM	
31	880	93	10	02/02/17 07:30:11 PM	
32	880	100	10	02/02/17 07:30:21 PM	
33	880	90	10	02/02/17 07:30:32 PM	
34	880	92	10	02/02/17 07:30:42 PM	
35	880	92	10	02/02/17 07:30:52 PM	
36	880	96	10	02/02/17 07:31:02 PM	
37	880	98	10	02/02/17 07:31:12 PM	
38	880	97	10	02/02/17 07:31:23 PM	
39	880	96	10	02/02/17 07:31:33 PM	
40	880	88	10	02/02/17 07:31:43 PM	
