Description	
Number of Runs	34
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	600
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	600	0	30	02/02/17 05:37:52 PM	
2	620	0	30	02/02/17 05:38:22 PM	
3	640	0	30	02/02/17 05:38:52 PM	
4	660	0	30	02/02/17 05:39:23 PM	
5	680	0	30	02/02/17 05:39:53 PM	
6	700	0	30	02/02/17 05:40:24 PM	
7	720	949	30	02/02/17 05:40:54 PM	
8	740	971	30	02/02/17 05:41:24 PM	
9	760	980	30	02/02/17 05:41:55 PM	
10	780	1089	30	02/02/17 05:42:25 PM	
11	800	1110	30	02/02/17 05:42:56 PM	
12	820	1108	30	02/02/17 05:43:26 PM	
13	840	1118	30	02/02/17 05:43:56 PM	
14	860	1158	30	02/02/17 05:44:27 PM	
15	880	1091	30	02/02/17 05:44:57 PM	
16	900	1159	30	02/02/17 05:45:28 PM	
17	920	1137	30	02/02/17 05:45:58 PM	
18	940	1170	30	02/02/17 05:46:28 PM	
19	960	1304	30	02/02/17 05:46:59 PM	
20	980	1208	30	02/02/17 05:47:29 PM	
21	1000	1227	30	02/02/17 05:48:00 PM	
22	1020	1223	30	02/02/17 05:48:30 PM	
23	1040	1161	30	02/02/17 05:49:00 PM	
24	1060	1250	30	02/02/17 05:49:31 PM	
25	1080	1288	30	02/02/17 05:50:01 PM	
26	1100	1306	30	02/02/17 05:50:32 PM	
27	1120	1278	30	02/02/17 05:51:02 PM	
28	1140	1274	30	02/02/17 05:51:32 PM	
29	1160	1362	30	02/02/17 05:52:03 PM	
30	1180	1305	30	02/02/17 05:52:33 PM	
31	1200	1381	30	02/02/17 05:53:04 PM	
32	1200	1324	30	02/02/17 05:53:34 PM	
33	1200	1288	30	02/02/17 05:54:04 PM	
34	1200	1341	30	02/02/17 05:54:35 PM	
