Description	
Number of Runs	300
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	2	5	02/02/17 06:14:13 PM	
2	880	2	5	02/02/17 06:14:18 PM	
3	880	5	5	02/02/17 06:14:23 PM	
4	880	1	5	02/02/17 06:14:28 PM	
5	880	1	5	02/02/17 06:14:33 PM	
6	880	2	5	02/02/17 06:14:39 PM	
7	880	4	5	02/02/17 06:14:44 PM	
8	880	7	5	02/02/17 06:14:49 PM	
9	880	4	5	02/02/17 06:14:54 PM	
10	880	1	5	02/02/17 06:15:00 PM	
11	880	4	5	02/02/17 06:15:05 PM	
12	880	0	5	02/02/17 06:15:10 PM	
13	880	5	5	02/02/17 06:15:15 PM	
14	880	4	5	02/02/17 06:15:21 PM	
15	880	6	5	02/02/17 06:15:26 PM	
16	880	1	5	02/02/17 06:15:31 PM	
17	880	3	5	02/02/17 06:15:36 PM	
18	880	5	5	02/02/17 06:15:41 PM	
19	880	5	5	02/02/17 06:15:46 PM	
20	880	3	5	02/02/17 06:15:52 PM	
21	880	3	5	02/02/17 06:15:57 PM	
22	880	4	5	02/02/17 06:16:02 PM	
23	880	3	5	02/02/17 06:16:07 PM	
24	880	3	5	02/02/17 06:16:13 PM	
25	880	2	5	02/02/17 06:16:18 PM	
26	880	7	5	02/02/17 06:16:23 PM	
27	880	4	5	02/02/17 06:16:28 PM	
28	880	4	5	02/02/17 06:16:34 PM	
29	880	3	5	02/02/17 06:16:39 PM	
30	880	7	5	02/02/17 06:16:44 PM	
31	880	3	5	02/02/17 06:16:49 PM	
32	880	2	5	02/02/17 06:16:55 PM	
33	880	5	5	02/02/17 06:17:00 PM	
34	880	2	5	02/02/17 06:17:05 PM	
35	880	0	5	02/02/17 06:17:10 PM	
36	880	3	5	02/02/17 06:17:15 PM	
37	880	5	5	02/02/17 06:17:21 PM	
38	880	4	5	02/02/17 06:17:26 PM	
39	880	7	5	02/02/17 06:17:31 PM	
40	880	4	5	02/02/17 06:17:36 PM	
41	880	3	5	02/02/17 06:17:42 PM	
42	880	2	5	02/02/17 06:17:47 PM	
43	880	4	5	02/02/17 06:17:52 PM	
44	880	1	5	02/02/17 06:17:57 PM	
45	880	3	5	02/02/17 06:18:02 PM	
46	880	5	5	02/02/17 06:18:08 PM	
47	880	4	5	02/02/17 06:18:13 PM	
48	880	4	5	02/02/17 06:18:18 PM	
49	880	2	5	02/02/17 06:18:23 PM	
50	880	4	5	02/02/17 06:18:28 PM	
51	880	3	5	02/02/17 06:18:34 PM	
52	880	5	5	02/02/17 06:18:39 PM	
53	880	5	5	02/02/17 06:18:44 PM	
54	880	4	5	02/02/17 06:18:49 PM	
55	880	2	5	02/02/17 06:18:55 PM	
56	880	5	5	02/02/17 06:19:00 PM	
57	880	6	5	02/02/17 06:19:05 PM	
58	880	4	5	02/02/17 06:19:10 PM	
59	880	3	5	02/02/17 06:19:16 PM	
60	880	5	5	02/02/17 06:19:21 PM	
61	880	8	5	02/02/17 06:19:26 PM	
62	880	2	5	02/02/17 06:19:31 PM	
63	880	2	5	02/02/17 06:19:36 PM	
64	880	1	5	02/02/17 06:19:42 PM	
65	880	5	5	02/02/17 06:19:47 PM	
66	880	5	5	02/02/17 06:19:52 PM	
67	880	5	5	02/02/17 06:19:57 PM	
68	880	3	5	02/02/17 06:20:03 PM	
69	880	2	5	02/02/17 06:20:08 PM	
70	880	0	5	02/02/17 06:20:13 PM	
71	880	2	5	02/02/17 06:20:18 PM	
72	880	1	5	02/02/17 06:20:24 PM	
73	880	1	5	02/02/17 06:20:29 PM	
74	880	5	5	02/02/17 06:20:34 PM	
75	880	7	5	02/02/17 06:20:39 PM	
76	880	2	5	02/02/17 06:20:45 PM	
77	880	4	5	02/02/17 06:20:50 PM	
78	880	2	5	02/02/17 06:20:55 PM	
79	880	4	5	02/02/17 06:21:00 PM	
80	880	3	5	02/02/17 06:21:06 PM	
81	880	5	5	02/02/17 06:21:11 PM	
82	880	3	5	02/02/17 06:21:16 PM	
83	880	3	5	02/02/17 06:21:21 PM	
84	880	2	5	02/02/17 06:21:26 PM	
85	880	0	5	02/02/17 06:21:32 PM	
86	880	5	5	02/02/17 06:21:37 PM	
87	880	4	5	02/02/17 06:21:42 PM	
88	880	3	5	02/02/17 06:21:47 PM	
89	880	2	5	02/02/17 06:21:53 PM	
90	880	2	5	02/02/17 06:21:58 PM	
91	880	1	5	02/02/17 06:22:03 PM	
92	880	4	5	02/02/17 06:22:08 PM	
93	880	3	5	02/02/17 06:22:13 PM	
94	880	3	5	02/02/17 06:22:19 PM	
95	880	5	5	02/02/17 06:22:24 PM	
96	880	1	5	02/02/17 06:22:29 PM	
97	880	4	5	02/02/17 06:22:34 PM	
98	880	8	5	02/02/17 06:22:40 PM	
99	880	1	5	02/02/17 06:22:45 PM	
100	880	1	5	02/02/17 06:22:50 PM	
101	880	3	5	02/02/17 06:22:55 PM	
102	880	5	5	02/02/17 06:23:00 PM	
103	880	3	5	02/02/17 06:23:05 PM	
104	880	6	5	02/02/17 06:23:11 PM	
105	880	3	5	02/02/17 06:23:16 PM	
106	880	6	5	02/02/17 06:23:21 PM	
107	880	8	5	02/02/17 06:23:26 PM	
108	880	1	5	02/02/17 06:23:32 PM	
109	880	1	5	02/02/17 06:23:37 PM	
110	880	1	5	02/02/17 06:23:42 PM	
111	880	4	5	02/02/17 06:23:47 PM	
112	880	3	5	02/02/17 06:23:53 PM	
113	880	4	5	02/02/17 06:23:58 PM	
114	880	2	5	02/02/17 06:24:03 PM	
115	880	4	5	02/02/17 06:24:08 PM	
116	880	3	5	02/02/17 06:24:13 PM	
117	880	1	5	02/02/17 06:24:19 PM	
118	880	3	5	02/02/17 06:24:24 PM	
119	880	4	5	02/02/17 06:24:29 PM	
120	880	4	5	02/02/17 06:24:34 PM	
121	880	0	5	02/02/17 06:24:40 PM	
122	880	1	5	02/02/17 06:24:45 PM	
123	880	3	5	02/02/17 06:24:50 PM	
124	880	2	5	02/02/17 06:24:55 PM	
125	880	1	5	02/02/17 06:25:01 PM	
126	880	2	5	02/02/17 06:25:06 PM	
127	880	1	5	02/02/17 06:25:11 PM	
128	880	2	5	02/02/17 06:25:16 PM	
129	880	2	5	02/02/17 06:25:22 PM	
130	880	2	5	02/02/17 06:25:27 PM	
131	880	4	5	02/02/17 06:25:32 PM	
132	880	4	5	02/02/17 06:25:37 PM	
133	880	3	5	02/02/17 06:25:42 PM	
134	880	3	5	02/02/17 06:25:48 PM	
135	880	5	5	02/02/17 06:25:53 PM	
136	880	5	5	02/02/17 06:25:58 PM	
137	880	1	5	02/02/17 06:26:03 PM	
138	880	7	5	02/02/17 06:26:09 PM	
139	880	4	5	02/02/17 06:26:14 PM	
140	880	2	5	02/02/17 06:26:19 PM	
141	880	4	5	02/02/17 06:26:24 PM	
142	880	7	5	02/02/17 06:26:30 PM	
143	880	6	5	02/02/17 06:26:35 PM	
144	880	6	5	02/02/17 06:26:40 PM	
145	880	5	5	02/02/17 06:26:45 PM	
146	880	3	5	02/02/17 06:26:50 PM	
147	880	2	5	02/02/17 06:26:55 PM	
148	880	4	5	02/02/17 06:27:01 PM	
149	880	5	5	02/02/17 06:27:06 PM	
150	880	5	5	02/02/17 06:27:11 PM	
151	880	1	5	02/02/17 06:27:16 PM	
152	880	2	5	02/02/17 06:27:21 PM	
153	880	3	5	02/02/17 06:27:27 PM	
154	880	4	5	02/02/17 06:27:32 PM	
155	880	3	5	02/02/17 06:27:37 PM	
156	880	1	5	02/02/17 06:27:42 PM	
157	880	3	5	02/02/17 06:27:48 PM	
158	880	3	5	02/02/17 06:27:53 PM	
159	880	6	5	02/02/17 06:27:58 PM	
160	880	7	5	02/02/17 06:28:03 PM	
161	880	2	5	02/02/17 06:28:08 PM	
162	880	1	5	02/02/17 06:28:14 PM	
163	880	2	5	02/02/17 06:28:19 PM	
164	880	2	5	02/02/17 06:28:24 PM	
165	880	3	5	02/02/17 06:28:29 PM	
166	880	7	5	02/02/17 06:28:35 PM	
167	880	1	5	02/02/17 06:28:40 PM	
168	880	5	5	02/02/17 06:28:45 PM	
169	880	1	5	02/02/17 06:28:50 PM	
170	880	2	5	02/02/17 06:28:56 PM	
171	880	4	5	02/02/17 06:29:01 PM	
172	880	3	5	02/02/17 06:29:06 PM	
173	880	5	5	02/02/17 06:29:11 PM	
174	880	8	5	02/02/17 06:29:16 PM	
175	880	0	5	02/02/17 06:29:22 PM	
176	880	4	5	02/02/17 06:29:27 PM	
177	880	5	5	02/02/17 06:29:32 PM	
178	880	1	5	02/02/17 06:29:37 PM	
179	880	7	5	02/02/17 06:29:43 PM	
180	880	3	5	02/02/17 06:29:48 PM	
181	880	4	5	02/02/17 06:29:53 PM	
182	880	1	5	02/02/17 06:29:58 PM	
183	880	2	5	02/02/17 06:30:04 PM	
184	880	3	5	02/02/17 06:30:09 PM	
185	880	1	5	02/02/17 06:30:14 PM	
186	880	4	5	02/02/17 06:30:19 PM	
187	880	7	5	02/02/17 06:30:24 PM	
188	880	4	5	02/02/17 06:30:30 PM	
189	880	2	5	02/02/17 06:30:35 PM	
190	880	1	5	02/02/17 06:30:40 PM	
191	880	2	5	02/02/17 06:30:45 PM	
192	880	2	5	02/02/17 06:30:51 PM	
193	880	5	5	02/02/17 06:30:56 PM	
194	880	4	5	02/02/17 06:31:01 PM	
195	880	6	5	02/02/17 06:31:06 PM	
196	880	4	5	02/02/17 06:31:11 PM	
197	880	2	5	02/02/17 06:31:17 PM	
198	880	4	5	02/02/17 06:31:22 PM	
199	880	2	5	02/02/17 06:31:27 PM	
200	880	1	5	02/02/17 06:31:32 PM	
201	880	5	5	02/02/17 06:31:37 PM	
202	880	1	5	02/02/17 06:31:43 PM	
203	880	3	5	02/02/17 06:31:48 PM	
204	880	5	5	02/02/17 06:31:53 PM	
205	880	3	5	02/02/17 06:31:58 PM	
206	880	4	5	02/02/17 06:32:04 PM	
207	880	6	5	02/02/17 06:32:09 PM	
208	880	0	5	02/02/17 06:32:14 PM	
209	880	3	5	02/02/17 06:32:19 PM	
210	880	2	5	02/02/17 06:32:25 PM	
211	880	4	5	02/02/17 06:32:30 PM	
212	880	3	5	02/02/17 06:32:35 PM	
213	880	2	5	02/02/17 06:32:40 PM	
214	880	4	5	02/02/17 06:32:46 PM	
215	880	2	5	02/02/17 06:32:51 PM	
216	880	3	5	02/02/17 06:32:56 PM	
217	880	5	5	02/02/17 06:33:01 PM	
218	880	4	5	02/02/17 06:33:06 PM	
219	880	5	5	02/02/17 06:33:12 PM	
220	880	4	5	02/02/17 06:33:17 PM	
221	880	4	5	02/02/17 06:33:22 PM	
222	880	3	5	02/02/17 06:33:27 PM	
223	880	3	5	02/02/17 06:33:33 PM	
224	880	2	5	02/02/17 06:33:38 PM	
225	880	3	5	02/02/17 06:33:43 PM	
226	880	4	5	02/02/17 06:33:48 PM	
227	880	2	5	02/02/17 06:33:53 PM	
228	880	2	5	02/02/17 06:33:59 PM	
229	880	1	5	02/02/17 06:34:04 PM	
230	880	1	5	02/02/17 06:34:09 PM	
231	880	3	5	02/02/17 06:34:14 PM	
232	880	4	5	02/02/17 06:34:20 PM	
233	880	4	5	02/02/17 06:34:25 PM	
234	880	6	5	02/02/17 06:34:30 PM	
235	880	2	5	02/02/17 06:34:35 PM	
236	880	2	5	02/02/17 06:34:41 PM	
237	880	2	5	02/02/17 06:34:46 PM	
238	880	2	5	02/02/17 06:34:51 PM	
239	880	4	5	02/02/17 06:34:56 PM	
240	880	4	5	02/02/17 06:35:01 PM	
241	880	5	5	02/02/17 06:35:07 PM	
242	880	3	5	02/02/17 06:35:12 PM	
243	880	2	5	02/02/17 06:35:17 PM	
244	880	2	5	02/02/17 06:35:22 PM	
245	880	2	5	02/02/17 06:35:27 PM	
246	880	1	5	02/02/17 06:35:33 PM	
247	880	3	5	02/02/17 06:35:38 PM	
248	880	6	5	02/02/17 06:35:43 PM	
249	880	3	5	02/02/17 06:35:48 PM	
250	880	4	5	02/02/17 06:35:54 PM	
251	880	2	5	02/02/17 06:35:59 PM	
252	880	3	5	02/02/17 06:36:04 PM	
253	880	2	5	02/02/17 06:36:09 PM	
254	880	1	5	02/02/17 06:36:14 PM	
255	880	6	5	02/02/17 06:36:20 PM	
256	880	0	5	02/02/17 06:36:25 PM	
257	880	4	5	02/02/17 06:36:30 PM	
258	880	3	5	02/02/17 06:36:35 PM	
259	880	1	5	02/02/17 06:36:41 PM	
260	880	7	5	02/02/17 06:36:46 PM	
261	880	3	5	02/02/17 06:36:51 PM	
262	880	0	5	02/02/17 06:36:56 PM	
263	880	4	5	02/02/17 06:37:02 PM	
264	880	1	5	02/02/17 06:37:07 PM	
265	880	4	5	02/02/17 06:37:12 PM	
266	880	1	5	02/02/17 06:37:17 PM	
267	880	2	5	02/02/17 06:37:22 PM	
268	880	3	5	02/02/17 06:37:28 PM	
269	880	3	5	02/02/17 06:37:33 PM	
270	880	6	5	02/02/17 06:37:38 PM	
271	880	2	5	02/02/17 06:37:43 PM	
272	880	4	5	02/02/17 06:37:49 PM	
273	880	1	5	02/02/17 06:37:54 PM	
274	880	3	5	02/02/17 06:37:59 PM	
275	880	5	5	02/02/17 06:38:04 PM	
276	880	1	5	02/02/17 06:38:10 PM	
277	880	1	5	02/02/17 06:38:15 PM	
278	880	2	5	02/02/17 06:38:20 PM	
279	880	0	5	02/02/17 06:38:25 PM	
280	880	0	5	02/02/17 06:38:30 PM	
281	880	3	5	02/02/17 06:38:36 PM	
282	880	2	5	02/02/17 06:38:41 PM	
283	880	6	5	02/02/17 06:38:46 PM	
284	880	1	5	02/02/17 06:38:51 PM	
285	880	2	5	02/02/17 06:38:56 PM	
286	880	4	5	02/02/17 06:39:02 PM	
287	880	3	5	02/02/17 06:39:07 PM	
288	880	6	5	02/02/17 06:39:12 PM	
289	880	4	5	02/02/17 06:39:17 PM	
290	880	4	5	02/02/17 06:39:23 PM	
291	880	2	5	02/02/17 06:39:28 PM	
292	880	4	5	02/02/17 06:39:33 PM	
293	880	2	5	02/02/17 06:39:38 PM	
294	880	4	5	02/02/17 06:39:44 PM	
295	880	4	5	02/02/17 06:39:49 PM	
296	880	2	5	02/02/17 06:39:54 PM	
297	880	2	5	02/02/17 06:39:59 PM	
298	880	3	5	02/02/17 06:40:04 PM	
299	880	1	5	02/02/17 06:40:10 PM	
300	880	2	5	02/02/17 06:40:15 PM	
