Description	
Number of Runs	10
Preset Time	60
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	980

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	980	36	60.00	02/09/2017 05:35:30 PM	
2	980	39	60.00	02/09/2017 05:36:31 PM	
3	980	36	60.00	02/09/2017 05:37:32 PM	
4	980	37	60.00	02/09/2017 05:38:33 PM	
5	980	43	60.00	02/09/2017 05:39:34 PM	
6	980	32	60.00	02/09/2017 05:40:35 PM	
7	980	43	60.00	02/09/2017 05:41:36 PM	
8	980	51	60.00	02/09/2017 05:42:37 PM	
9	980	40	60.00	02/09/2017 05:43:38 PM	
10	980	30	60.00	02/09/2017 05:44:38 PM	
