Description	
Number of Runs	1
Preset Time	60
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	900

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	900	48692	60.00	02/16/2017 07:14:56 PM	
1	900	16490	60.00	02/16/2017 07:16:36 PM	
1	900	7018	60.00	02/16/2017 07:18:05 PM	
1	900	3564	60.00	02/16/2017 07:19:43 PM	
1	900	1988	60.00	02/16/2017 07:21:11 PM	
1	900	1222	60.00	02/16/2017 07:23:32 PM	
1	900	795	60.00	02/16/2017 07:24:55 PM	
1	900	514	60.00	02/16/2017 07:26:23 PM	
1	900	332	60.00	02/16/2017 07:27:53 PM	
