Description	
Number of Runs	1
Preset Time	200
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	900

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	900	9385	60.00	02/16/2017 05:18:04 PM	
1	900	5086	60.00	02/16/2017 05:21:33 PM	
1	900	2927	60.00	02/16/2017 05:23:52 PM	
1	900	1818	60.00	02/16/2017 05:25:19 PM	
1	900	1167	60.00	02/16/2017 05:27:24 PM	
1	900	767	60.00	02/16/2017 05:28:56 PM	
1	900	550	60.00	02/16/2017 05:30:35 PM	
1	900	1222	200.00	02/16/2017 05:35:18 PM	
1	900	1000	200.00	02/16/2017 05:40:16 PM	
1	900	775	200.00	02/16/2017 05:45:09 PM	
1	900	655	200.00	02/16/2017 05:49:08 PM	
1	900	506	200.00	02/16/2017 05:52:49 PM	
1	900	480	200.00	02/16/2017 05:56:59 PM	
