,Beam energy after exit from IC1,Energy deposited in IC1,Current in IC1,Beam energy after exit from water column,Fraction of beam remaining after exit from water column,Beam energy after exit from IC2,Energy deposited in IC2,Current in IC2
0.0,149.990413084,0.00958691624686,3.42717705342e-16,149.984994685,1.0,149.975407107,0.0095875775902,3.42741347362e-16
2.0,149.990413084,0.00958691624686,3.42717705342e-16,138.881885194,0.919622463612,138.871770974,0.0101142200663,3.32506070165e-16
4.0,149.990413084,0.00958691624686,3.42717705342e-16,127.115816022,0.84570547558,127.105048532,0.010767489482,3.25530141306e-16
6.0,149.990413084,0.00958691624686,3.42717705342e-16,114.505824092,0.777729752943,114.494215806,0.0116082851105,3.22741184063e-16
8.0,149.990413084,0.00958691624686,3.42717705342e-16,100.796824098,0.715217751425,100.784077641,0.0127464573303,3.25900772177e-16
10.0,149.990413084,0.00958691624686,3.42717705342e-16,85.5238351505,0.657730310585,85.5094198757,0.0144152748082,3.38944343289e-16
12.0,149.990413084,0.00958691624686,3.42717705342e-16,67.8202778128,0.604863568612,67.8030592749,0.0172185379578,3.72315663678e-16
14.0,149.990413084,0.00958691624686,3.42717705342e-16,45.3764910023,0.556246125116,45.3528692742,0.0236217280821,4.69716993645e-16
14.2,149.990413084,0.00958691624686,3.42717705342e-16,42.6337665422,0.551604697211,42.6089399251,0.0248266171049,4.89556825628e-16
14.4,149.990413084,0.00958691624686,3.42717705342e-16,39.7416859221,0.547001998299,39.7154234983,0.0262624238229,5.1354833633e-16
14.6,149.990413084,0.00958691624686,3.42717705342e-16,36.6853607385,0.542437705219,36.6573557158,0.0280050227439,5.430544887e-16
14.8,149.990413084,0.00958691624686,3.42717705342e-16,33.3911129211,0.537911497506,33.3609035318,0.0302093893374,5.8091204509e-16
15.0,149.990413084,0.00958691624686,3.42717705342e-16,29.8098783268,0.533423057366,29.7767697843,0.0331085425094,6.31348939275e-16
15.2,149.990413084,0.00958691624686,3.42717705342e-16,25.860201286,0.528972069661,25.8230525223,0.0371487637276,7.0248121436e-16
15.4,149.990413084,0.00958691624686,3.42717705342e-16,21.3184578832,0.524558221879,21.2750009835,0.0434568997325,8.14910749366e-16
15.5,149.990413084,0.00958691624686,3.42717705342e-16,18.7234632963,0.522365128514,18.6751693719,0.0482939243567,9.01829178389e-16
15.6,149.990413084,0.00958691624686,3.42717705342e-16,15.7947419349,0.520181204118,15.739283387,0.0554585479293,1.03128988447e-15
15.7,149.990413084,0.00958691624686,3.42717705342e-16,12.3731157618,0.518006410358,12.3054910924,0.0676246693818,1.25226977093e-15
15.8,149.990413084,0.00958691624686,3.42717705342e-16,7.84870551094,0.515840709061,7.7509929117,0.0977125992403,1.80187137846e-15
15.8754647082,149.990413084,0.00958691624686,3.42717705342e-16,0.0,0.514212365623,0.0,0.0,0.0
