27-Co-59(n,&gamma;) ENDF/B-VII.1
1.0E-5,1871.2
1.31241E-5,1633.37
1.70876E-5,1431.46
2.2426E-5,1249.52
2.91987E-5,1095.06
3.83206E-5,955.878
4.98935E-5,837.715
6.54808E-5,731.241
8.52562E-5,640.851
1.11891E-4,559.398
1.45682E-4,490.245
1.91195E-4,427.941
2.48937E-4,375.041
3.26707E-4,327.368
4.25373E-4,286.901
5.58264E-4,250.435
7.26861E-4,219.483
9.53941E-4,191.588
0.00124203,167.901
0.00163006,146.563
0.00212234,128.442
0.00278538,112.12
0.00362657,98.2584
0.00475955,85.7754
0.00619694,75.1707
0.00813293,65.6226
0.0105891,57.5083
0.0138972,50.2084
0.0180942,44.061
0.0234661,38.7204
0.0253,37.2756
0.033204,32.5415
0.0432317,28.5495
0.0567377,24.8949
0.0738726,21.8545
0.0969512,19.0676
0.126231,16.694
0.165666,14.5963
0.215698,12.7926
0.283085,11.1683
0.40461,9.36368
0.526803,8.21137
0.752956,6.8867
0.988188,6.03062
1.41241,5.07038
1.83896,4.46001
2.36786,3.97448
3.08296,3.50482
3.93342,3.13269
5.7178,2.65108
8.17241,2.29089
11.4579,2.01684
16.3767,1.80835
22.9381,1.68137
28.6782,1.64836
37.222,1.68495
47.3335,1.82371
57.3787,2.08563
65.9889,2.4445
73.164,2.88923
80.3391,3.53315
86.0792,4.28521
91.1018,5.22358
95.4069,6.32923
99.2814,7.72483
102.725,9.44442
105.596,11.4025
108.466,14.1031
111.049,17.4999
113.345,21.7056
115.354,26.8524
117.076,32.9231
118.547,39.9163
120.0,49.3215
121.381,61.7292
122.529,75.9538
123.605,94.1734
124.61,117.575
125.542,147.616
126.403,185.954
127.193,234.231
127.91,293.573
128.646,374.99
129.474,497.06
130.995,769.15
131.426,824.183
131.966,851.378
132.574,816.865
133.349,697.705
134.63,464.853
135.426,352.444
136.144,276.495
136.861,219.819
137.668,172.953
138.458,139.349
139.319,112.212
140.251,90.5325
141.381,71.4901
142.565,57.1659
143.857,45.8411
145.31,36.6255
146.924,29.2636
148.718,23.3623
150.512,19.054
152.664,15.2846
154.817,12.5045
157.4,10.0513
160.413,7.99244
163.427,6.49883
167.158,5.15865
170.746,4.22312
175.051,3.39827
179.356,2.79416
184.378,2.26566
190.119,1.82681
196.576,1.47006
203.751,1.18256
212.361,0.937806
220.972,0.7627
231.017,0.616072
242.497,0.495433
255.412,0.399456
269.762,0.323438
286.983,0.259916
304.203,0.215079
324.293,0.177733
344.384,0.150868
367.344,0.12811
396.045,0.107597
427.615,0.0918409
470.666,0.0766674
522.327,0.0646584
579.728,0.0554778
645.865,0.0483396
756.093,0.0403447
888.367,0.034535
1020.64,0.0307638
1152.92,0.0278638
1285.19,0.0257523
1346.74,0.0254253
1362.76,0.0262255
1368.77,0.0274389
1373.28,0.0298311
1375.78,0.0328776
1377.54,0.0370002
1378.85,0.0426178
1379.71,0.0488003
1380.42,0.056847
1380.84,0.064103
1381.26,0.0748209
1381.62,0.0887162
1381.9,0.106043
1382.16,0.128623
1382.37,0.15644
1382.59,0.195562
1382.78,0.244359
1382.98,0.310474
1383.18,0.398061
1383.4,0.526199
1383.62,0.697661
1383.88,0.953806
1384.22,1.36996
1385.07,2.58959
1385.4,2.9285
1385.75,3.08847
1385.8,3.091
1386.1,3.00056
1386.43,2.70774
1386.93,2.01924
1387.45,1.26883
1387.76,0.903121
1388.02,0.666049
1388.24,0.50188
1388.43,0.395218
1388.64,0.304875
1388.83,0.24027
1389.03,0.192281
1389.23,0.156982
1389.46,0.127527
1389.7,0.106232
1389.98,0.089156
1390.31,0.0759072
1390.68,0.0658066
1391.21,0.0564065
1391.84,0.0492051
1392.62,0.0432945
1393.86,0.0375756
1395.35,0.0336034
1397.13,0.0308201
1399.7,0.0285764
1403.83,0.0267839
1412.34,0.0253322
1420.86,0.0247502
1517.76,0.0232486
1898.96,0.0211618
2102.25,0.0208438
2222.73,0.0212168
2243.41,0.0218689
2254.0,0.0230429
2260.43,0.0250955
2263.21,0.0270039
2265.79,0.0302667
2267.59,0.034406
2268.78,0.0389718
2269.86,0.0455205
2270.64,0.0532795
2271.12,0.0602967
2271.59,0.0707549
2271.95,0.0829861
2272.28,0.0997321
2272.57,0.120882
2272.8,0.145644
2273.04,0.179494
2273.28,0.225566
2273.52,0.291503
2273.77,0.377127
2274.01,0.489225
2274.27,0.650742
2274.58,0.886527
2274.91,1.21666
2275.38,1.79632
2276.29,3.00803
2276.72,3.41378
2277.15,3.58323
2277.2,3.58511
2277.62,3.4541
2278.01,3.11883
2278.68,2.25318
2279.29,1.44125
2279.67,1.02656
2279.97,0.76117
2280.25,0.569692
2280.5,0.434625
2280.73,0.339312
2280.98,0.262715
2281.22,0.205807
2281.46,0.164089
2281.7,0.133753
2281.96,0.110771
2282.24,0.0931698
2282.57,0.0786222
2282.95,0.0672615
2283.5,0.0568324
2284.12,0.0493677
2284.94,0.042823
2285.96,0.0375178
2287.41,0.0328427
2289.3,0.0292507
2291.83,0.0265492
2295.61,0.0244447
2299.39,0.0233408
2310.49,0.0220175
2370.56,0.0212321
2596.45,0.0221669
2741.3,0.0235533
2784.77,0.0248307
2802.16,0.0260707
2817.02,0.0279699
2826.27,0.0306665
2832.44,0.0340274
2836.58,0.0378177
2840.28,0.043244
2842.91,0.0493081
2845.27,0.0575017
2847.21,0.0677272
2848.84,0.0803458
2850.26,0.0965685
2851.35,0.114572
2852.37,0.138304
2853.22,0.166886
2853.93,0.200871
2854.56,0.244504
2855.07,0.296403
2855.47,0.356998
2855.83,0.433289
2856.15,0.532948
2856.46,0.668423
2856.74,0.836103
2857.02,1.06499
2857.28,1.3646
2857.57,1.7897
2857.85,2.35266
2858.14,3.09289
2858.48,4.2222
2858.87,5.87527
2859.35,8.40216
2860.4,14.6228
2860.9,16.8672
2861.37,17.8654
2861.5,17.9154
2861.95,17.303
2862.43,15.522
2863.17,11.2751
2863.88,7.13807
2864.3,5.10242
2864.67,3.70266
2864.99,2.73739
2865.28,2.06977
2865.56,1.58169
2865.82,1.24259
2866.07,0.984804
2866.33,0.790727
2866.62,0.627804
2866.94,0.502483
2867.26,0.412009
2867.59,0.347321
2867.99,0.289822
2868.48,0.241822
2869.09,0.200339
2869.82,0.165849
2870.75,0.135512
2871.89,0.110537
2873.03,0.093308
2874.49,0.0779237
2875.95,0.0672203
2878.06,0.0566828
2880.49,0.0487603
2883.74,0.0420801
2887.8,0.0370186
2892.67,0.0334012
2899.32,0.0305833
2909.55,0.0283807
2927.2,0.0268668
2972.37,0.0261077
3153.05,0.0283788
3333.73,0.0325295
3510.83,0.0386987
3653.25,0.0462372
3757.45,0.0541265
3853.84,0.0647051
3925.13,0.0763855
3960.51,0.0858984
3969.74,0.0914442
3974.2,0.0972006
3976.97,0.104367
3979.12,0.115743
3980.28,0.128447
3980.85,0.140273
3981.34,0.156843
3981.74,0.179656
3982.12,0.214348
3982.43,0.256286
3982.74,0.316638
3983.01,0.390058
3983.28,0.488742
3983.55,0.619398
3983.82,0.789422
3984.12,1.04187
3984.43,1.36687
3984.78,1.83034
3985.17,2.49207
3985.7,3.5901
3987.02,6.6941
3987.58,7.64326
3988.14,8.0377
3988.2,8.04162
3988.75,7.72389
3989.34,6.79199
3990.47,4.11819
3991.06,2.82618
3991.52,1.99878
3991.89,1.46834
3992.23,1.08732
3992.55,0.819602
3992.83,0.633825
3993.12,0.493302
3993.41,0.38907
3993.66,0.32204
3993.97,0.259845
3994.29,0.217145
3994.67,0.183421
3995.11,0.159312
3995.5,0.146427
3996.26,0.131595
3997.53,0.119722
3999.56,0.110716
4003.55,0.103782
4009.43,0.101387
4030.34,0.10521
4066.93,0.120669
4106.14,0.145532
4137.51,0.175173
4164.96,0.21342
4188.48,0.26175
4208.09,0.320164
4225.73,0.395365
4241.41,0.489865
4255.14,0.603676
4268.86,0.756825
4285.46,1.00254
4307.94,1.37406
4315.78,1.46012
4323.94,1.49336
4333.56,1.44861
4346.63,1.27586
4370.8,0.881682
4386.49,0.686716
4400.21,0.562777
4415.63,0.463938
4433.62,0.38624
4454.76,0.326789
4471.77,0.295672
4497.28,0.266931
4539.8,0.245476
4573.81,0.242837
4624.83,0.253555
4703.07,0.290053
4825.52,0.378853
4930.96,0.450537
5002.39,0.467725
5073.82,0.447169
5165.66,0.37912
5301.72,0.262102
5390.16,0.201726
5475.2,0.158002
5560.23,0.12518
5645.27,0.100991
5730.31,0.0826489
5832.35,0.0663732
5934.39,0.0543859
6053.45,0.0441659
6172.5,0.0368748
6257.53,0.0338225
6274.54,0.033568
6312.81,0.035043
6329.81,0.0377869
6338.32,0.0407211
6346.82,0.0455812
6353.2,0.0520668
6358.51,0.0609098
6362.23,0.0704505
6365.42,0.0826821
6368.41,0.0998397
6370.74,0.1195
6372.73,0.143693
6374.48,0.174124
6375.83,0.207238
6377.18,0.253799
6378.25,0.306245
6379.14,0.366609
6380.03,0.452476
6380.71,0.545544
6381.35,0.669131
6381.91,0.822629
6382.48,1.03615
6383.0,1.30187
6383.53,1.67362
6384.06,2.1713
6384.61,2.84666
6385.25,3.86542
6385.99,5.35471
6388.18,10.5898
6388.94,11.8202
6389.7,12.2629
6390.34,11.9508
6391.05,10.9361
6392.1,8.58232
6393.43,5.31799
6394.2,3.77948
6394.82,2.80981
6395.35,2.15744
6395.88,1.66972
6396.4,1.30368
6396.93,1.03295
6397.49,0.821918
6398.11,0.655508
6398.78,0.529913
6399.53,0.432539
6400.43,0.351545
6401.36,0.292917
6402.54,0.239511
6403.96,0.194954
6405.61,0.159236
6407.48,0.131052
6409.67,0.108253
6412.29,0.0895288
6414.91,0.0765335
6418.28,0.0649127
6422.33,0.0554946
6428.01,0.0469926
6434.13,0.0411929
6443.11,0.0359325
6456.59,0.0314943
6472.87,0.0285958
6494.75,0.0262197
6535.99,0.0237222
6597.85,0.0215306
6721.57,0.0184751
6907.16,0.0153892
7113.36,0.0130578
7319.57,0.0115963
7484.53,0.0111405
7597.94,0.0114728
7680.42,0.0124055
7742.28,0.0139054
7783.52,0.0156199
7820.64,0.0180844
7851.57,0.0212909
7876.32,0.0251414
7897.97,0.0300695
7916.01,0.0359862
7931.48,0.0430766
7946.94,0.0532392
7959.83,0.0653711
7971.43,0.0808635
7981.09,0.098946
7990.37,0.123195
7998.36,0.152361
8005.58,0.188782
8012.15,0.234474
8018.34,0.293749
8023.88,0.366484
8029.04,0.457903
8034.19,0.580651
8039.35,0.743013
8046.43,1.03127
8053.24,1.31257
8056.54,1.40004
8059.43,1.42749
8063.24,1.38478
8068.5,1.20916
8078.81,0.773065
8083.96,0.603284
8088.91,0.478759
8093.99,0.382676
8099.79,0.302018
8105.72,0.242104
8112.68,0.191406
8119.77,0.154331
8127.89,0.123716
8137.16,0.0988245
8146.44,0.0809375
8157.78,0.0652135
8169.13,0.053924
8182.01,0.0445462
8197.48,0.0364752
8216.55,0.0295597
8238.2,0.0241506
8259.86,0.0203626
8284.6,0.0172747
8319.66,0.0142824
8360.9,0.0119934
8412.45,0.0101139
8474.31,0.00869167
8546.48,0.00765563
8618.65,0.00706694
8644.43,0.00699377
8680.51,0.0072183
8695.98,0.00763807
8708.87,0.00843342
8716.6,0.00933577
8721.75,0.0103619
8726.67,0.0118792
8730.76,0.013901
8734.03,0.0164573
8736.49,0.0193143
8738.54,0.0227369
8740.17,0.0265885
8741.83,0.0321391
8743.11,0.0383576
8744.18,0.0458061
8744.98,0.05377
8745.77,0.0652617
8746.4,0.0789582
8746.95,0.0963856
8747.41,0.11682
8747.87,0.14502
8748.33,0.184025
8748.73,0.229004
8749.12,0.287799
8749.54,0.369098
8749.99,0.482771
8750.48,0.646685
8750.95,0.85103
8751.47,1.12944
8752.12,1.57168
8753.0,2.31723
8754.79,3.98738
8755.72,4.60055
8756.55,4.81534
8756.61,4.81627
8757.42,4.63993
8758.26,4.12468
8759.63,2.88055
8760.79,1.82414
8761.48,1.30573
8762.06,0.958383
8762.6,0.706881
8763.07,0.535584
8763.54,0.403241
8763.96,0.313525
8764.38,0.24506
8764.79,0.194846
8765.25,0.152828
8765.71,0.122429
8766.17,0.100419
8766.69,0.0824458
8767.34,0.06732
8767.98,0.056942
8768.9,0.0468605
8769.88,0.0396033
8771.06,0.0333643
8772.71,0.0273252
8774.53,0.0228052
8776.74,0.0190259
8779.31,0.0160324
8782.73,0.0134136
8786.83,0.0114077
8791.62,0.00991426
8798.45,0.00860803
8806.65,0.00768629
8819.72,0.00687516
8842.52,0.00620535
8862.83,0.00588772
8903.44,0.00553474
8984.67,0.00516609
9147.12,0.00479703
9268.62,0.00472854
9336.97,0.00490795
9367.34,0.00519939
9382.53,0.00556942
9392.64,0.0059669
9400.19,0.00652839
9406.48,0.0073293
9411.52,0.00841294
9415.29,0.00973817
9418.44,0.0114833
9420.96,0.0136572
9422.84,0.0161008
9424.42,0.019069
9425.75,0.0227841
9426.74,0.0268353
9427.52,0.0316258
9428.21,0.0378972
9428.74,0.0449883
9429.21,0.0538811
9429.68,0.0663783
9430.08,0.0806685
9430.47,0.0997502
9430.86,0.12513
9431.26,0.158643
9431.67,0.204959
9432.08,0.265488
9432.5,0.343348
9432.99,0.463061
9433.46,0.610037
9434.01,0.825804
9434.67,1.15039
9435.61,1.72413
9437.41,2.90196
9438.3,3.31044
9439.16,3.45887
9439.2,3.45922
9440.05,3.32488
9440.9,2.95372
9442.32,2.04173
9443.45,1.31003
9444.16,0.933385
9444.75,0.681442
9445.29,0.499709
9445.78,0.371638
9446.24,0.279095
9446.65,0.215521
9447.07,0.166727
9447.48,0.1298
9447.89,0.102175
9448.32,0.0808513
9448.72,0.0665481
9449.19,0.0540374
9449.74,0.0439159
9450.21,0.0378164
9450.88,0.0317574
9451.71,0.0267698
9452.65,0.0229159
9454.07,0.0190304
9455.87,0.0157753
9457.84,0.0134152
9460.59,0.0112507
9464.05,0.00955729
9467.51,0.00848242
9472.7,0.00748552
9478.8,0.00680806
9487.53,0.00628771
9500.63,0.00599301
9514.16,0.00586932
9538.11,0.00605028
9562.06,0.00657456
9580.03,0.00727913
9597.99,0.00845469
9609.97,0.00969977
9620.75,0.011369
9630.18,0.0135702
9637.82,0.0162008
9644.1,0.019306
9649.64,0.0231684
9655.03,0.0285493
9659.6,0.0351206
9663.27,0.0425737
9666.41,0.0513761
9669.33,0.0626178
9671.95,0.0765852
9674.34,0.0943589
9676.44,0.116043
9678.24,0.141767
9679.81,0.172745
9681.16,0.209137
9682.37,0.254157
9683.45,0.309834
9684.34,0.37438
9685.15,0.4549
9685.9,0.558734
9686.65,0.705213
9687.34,0.895167
9687.94,1.12026
9688.6,1.45359
9689.19,1.85509
9689.82,2.39858
9690.53,3.17498
9691.43,4.43381
9692.92,7.02977
9694.17,9.15727
9695.03,10.2396
9695.91,10.7679
9696.15,10.7916
9697.02,10.4481
9697.82,9.58613
9699.25,7.22202
9700.81,4.50621
9701.68,3.27051
9702.42,2.437
9703.09,1.85654
9703.72,1.43729
9704.34,1.12111
9704.94,0.895759
9705.54,0.726941
9706.26,0.579041
9707.01,0.469337
9707.76,0.390021
9708.66,0.321016
9709.63,0.266929
9710.8,0.219774
9712.07,0.182298
9713.57,0.149986
9715.36,0.121925
9717.31,0.0999466
9719.56,0.0815503
9722.17,0.0661431
9725.24,0.0533516
9728.84,0.0428774
9732.38,0.0355608
9736.99,0.0287675
9742.07,0.0235774
9748.3,0.0192109
9754.52,0.0161546
9762.27,0.0135015
9771.56,0.0113167
9782.41,0.00962114
9794.8,0.00833291
9808.23,0.00742225
9828.88,0.00650849
9849.54,0.00594284
9886.72,0.00538653
9936.3,0.00507388
9985.88,0.00497347
10085.0,0.0051566
10167.7,0.00563329
10233.8,0.00629207
10283.3,0.00702193
10329.6,0.00801262
10375.9,0.00945982
10415.5,0.0112825
10448.6,0.0134589
10475.0,0.0158914
10501.5,0.0192463
10524.6,0.0233797
10545.3,0.0285269
10562.6,0.0344654
10580.0,0.0426957
10594.4,0.0522036
10608.9,0.0654259
10621.9,0.0822153
10633.5,0.103147
10643.6,0.128493
10652.9,0.160331
10662.2,0.204102
10670.4,0.257116
10679.2,0.332983
10688.8,0.441501
10704.7,0.643976
10709.4,0.681401
10714.3,0.695843
10720.9,0.670056
10728.9,0.586398
10744.5,0.384843
10753.7,0.292388
10762.0,0.230229
10770.2,0.183832
10779.5,0.145432
10789.4,0.115741
10800.6,0.0917204
10812.8,0.0729885
10825.8,0.0586551
10840.2,0.0472072
10854.7,0.0388689
10872.1,0.0315647
10892.3,0.0254876
10914.6,0.0207207
10937.7,0.0171702
10964.2,0.0142278
10997.2,0.0116215
11030.3,0.00976936
11070.0,0.00818548
11122.8,0.00673843
11185.6,0.00561258
11258.3,0.00475009
11341.0,0.00410592
11440.1,0.00361727
11555.8,0.00330115
11605.4,0.00325449
11646.7,0.0033828
11655.2,0.00354388
11660.9,0.00382932
11663.7,0.00418238
11664.8,0.00447002
11665.5,0.00480438
11666.2,0.00537253
11666.8,0.00606758
11667.3,0.00713853
11667.7,0.00845905
11668.2,0.0103331
11668.6,0.0129641
11669.1,0.0166067
11669.5,0.0211523
11669.9,0.0277126
11670.4,0.0363663
11670.8,0.0475576
11671.3,0.0637364
11671.9,0.0868406
11672.5,0.119136
11673.2,0.164282
11674.2,0.24686
11675.9,0.394989
11677.0,0.457923
11677.9,0.480185
11678.0,0.480332
11678.9,0.464149
11679.7,0.418918
11681.1,0.309476
11682.6,0.184475
11683.3,0.12947
11684.0,0.094155
11684.5,0.0697859
11685.0,0.0524344
11685.5,0.038979
11686.0,0.0295532
11686.4,0.0229835
11686.8,0.0179059
11687.2,0.0143395
11687.6,0.0113923
11688.1,0.00926502
11688.5,0.00774762
11689.0,0.00650202
11689.6,0.0055807
11690.2,0.00508134
11690.8,0.00466387
11692.2,0.00424294
11694.4,0.0039568
11698.0,0.00373849
11703.9,0.00359332
11715.5,0.00351638
11736.2,0.00361694
11760.4,0.00394533
11777.6,0.00439279
11792.0,0.00502893
11803.5,0.00586514
11812.2,0.00684727
11819.2,0.00804265
11825.2,0.00953922
11830.9,0.0115778
11835.4,0.0139718
11839.1,0.0167708
11842.7,0.0205051
11845.7,0.0250548
11848.5,0.0310829
11850.6,0.0376009
11852.7,0.046171
11854.4,0.056189
11855.9,0.0680642
11857.2,0.0826037
11858.4,0.101873
11859.4,0.124981
11860.3,0.15432
11861.0,0.190573
11861.7,0.235272
11862.3,0.287873
11863.0,0.368927
11863.7,0.47936
11864.4,0.620318
11865.1,0.816392
11865.9,1.09813
11866.8,1.53287
11868.3,2.36715
11869.9,3.26602
11871.0,3.69829
11872.0,3.84029
11872.9,3.73575
11873.9,3.37451
11875.5,2.5045
11877.0,1.61034
11878.0,1.14816
11878.8,0.858049
11879.5,0.645315
11880.2,0.50132
11880.8,0.391517
11881.5,0.305975
11882.1,0.251358
11882.8,0.200605
11883.5,0.163944
11884.4,0.132554
11885.2,0.110228
11886.3,0.0909746
11887.6,0.0739926
11889.1,0.0597775
