cell  80                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   1.17711E-17 0.3091
    1.0071E-01   9.57482E-09 0.0128
    2.0143E-01   1.75251E-08 0.0134
    3.0214E-01   2.22504E-08 0.0138
    4.0286E-01   2.81608E-08 0.0137
    5.0357E-01   3.23077E-08 0.0139
    6.0429E-01   3.32122E-08 0.0140
    7.0500E-01   3.68492E-08 0.0140
    8.0571E-01   3.87225E-08 0.0142
    9.0643E-01   4.09008E-08 0.0143
    1.0071E+00   4.30535E-08 0.0148
    1.1079E+00   4.32197E-08 0.0152
    1.2086E+00   4.34378E-08 0.0152
    1.3093E+00   4.49964E-08 0.0153
    1.4100E+00   4.24672E-08 0.0159
    1.5107E+00   4.19694E-08 0.0162
    1.6114E+00   4.19477E-08 0.0165
    1.7121E+00   4.11103E-08 0.0170
    1.8129E+00   4.11533E-08 0.0172
    1.9136E+00   4.01788E-08 0.0178
    2.0143E+00   3.85826E-08 0.0182
    2.1150E+00   3.85461E-08 0.0185
    2.2157E+00   3.79121E-08 0.0187
    2.3164E+00   3.55053E-08 0.0193
    2.4171E+00   3.36410E-08 0.0199
    2.5179E+00   3.40290E-08 0.0203
    2.6186E+00   3.31323E-08 0.0208
    2.7193E+00   3.07637E-08 0.0216
    2.8200E+00   2.99000E-08 0.0223
    2.9207E+00   2.87850E-08 0.0227
    3.0214E+00   2.75231E-08 0.0235
    3.1221E+00   2.69647E-08 0.0240
    3.2229E+00   2.62010E-08 0.0248
    3.3236E+00   2.57777E-08 0.0256
    3.4243E+00   2.45050E-08 0.0265
    3.5250E+00   2.34566E-08 0.0270
    3.6257E+00   2.18946E-08 0.0282
    3.7264E+00   2.02024E-08 0.0294
    3.8271E+00   2.07452E-08 0.0292
    3.9279E+00   1.70825E-08 0.0318
    4.0286E+00   1.76015E-08 0.0313
    4.1293E+00   1.68520E-08 0.0321
    4.2300E+00   1.66900E-08 0.0330
    4.3307E+00   1.60039E-08 0.0340
    4.4314E+00   1.47297E-08 0.0353
    4.5321E+00   1.41098E-08 0.0360
    4.6329E+00   1.29873E-08 0.0379
    4.7336E+00   1.28615E-08 0.0378
    4.8343E+00   1.03268E-08 0.0416
    4.9350E+00   1.11522E-08 0.0411
    5.0357E+00   1.07497E-08 0.0421
    5.1364E+00   1.05405E-08 0.0442
    5.2371E+00   9.57588E-09 0.0450
    5.3379E+00   9.44618E-09 0.0452
    5.4386E+00   8.30459E-09 0.0478
    5.5393E+00   7.55234E-09 0.0505
    5.6400E+00   7.77424E-09 0.0503
    5.7407E+00   7.31973E-09 0.0528
    5.8414E+00   6.32346E-09 0.0561
    5.9421E+00   5.92269E-09 0.0587
    6.0429E+00   5.66867E-09 0.0591
    6.1436E+00   5.27376E-09 0.0620
    6.2443E+00   4.38888E-09 0.0672
    6.3450E+00   4.49596E-09 0.0681
    6.4457E+00   4.69201E-09 0.0666
    6.5464E+00   4.39007E-09 0.0683
    6.6471E+00   4.24970E-09 0.0710
    6.7479E+00   4.22152E-09 0.0703
    6.8486E+00   3.58137E-09 0.0785
    6.9493E+00   4.14461E-09 0.0726
    7.0500E+00   3.57356E-09 0.0769
    7.1507E+00   3.69983E-09 0.0772
    7.2514E+00   3.05532E-09 0.0888
    7.3521E+00   2.61919E-09 0.0909
    7.4529E+00   2.48763E-09 0.0921
    7.5536E+00   2.22123E-09 0.0983
    7.6543E+00   2.15852E-09 0.0993
    7.7550E+00   2.21296E-09 0.0988
    7.8557E+00   1.98859E-09 0.1050
    7.9564E+00   1.67455E-09 0.1129
    8.0571E+00   1.76398E-09 0.1120
    8.1579E+00   1.62526E-09 0.1191
    8.2586E+00   1.61283E-09 0.1194
    8.3593E+00   1.40843E-09 0.1277
    8.4600E+00   1.41654E-09 0.1285
    8.5607E+00   1.11695E-09 0.1404
    8.6614E+00   1.38511E-09 0.1270
    8.7621E+00   1.25803E-09 0.1355
    8.8629E+00   9.30122E-10 0.1554
    8.9636E+00   1.12724E-09 0.1450
    9.0643E+00   9.34954E-10 0.1574
    9.1650E+00   1.13753E-09 0.1416
    9.2657E+00   7.51241E-10 0.1744
    9.3664E+00   8.81600E-10 0.1634
    9.4671E+00   6.95378E-10 0.1887
    9.5679E+00   8.67799E-10 0.1721
    9.6686E+00   6.46755E-10 0.1915
    9.7693E+00   6.23782E-10 0.2016
    9.8700E+00   5.61670E-10 0.2047
    9.9707E+00   6.08881E-10 0.2019
    1.0071E+01   4.11345E-10 0.2361
    1.0172E+01   4.57733E-10 0.2305
    1.0273E+01   3.74175E-10 0.2614
    1.0374E+01   3.87682E-10 0.2705
    1.0474E+01   4.05204E-10 0.2625
    1.0575E+01   3.05503E-10 0.2830
    1.0676E+01   6.18474E-10 0.2115
    1.0776E+01   1.43899E-10 0.3944
    1.0877E+01   2.93062E-10 0.2989
    1.0978E+01   3.25575E-10 0.2882
    1.1079E+01   2.18707E-10 0.3468
    1.1179E+01   2.03898E-10 0.3621
