energy,tally,variance
0.0000E+00,0.00000E+00,0.0000
1.0000E-01,4.98956E-07,0.0247
2.0000E-01,1.01645E-07,0.0497
3.0000E-01,8.56594E-08,0.0557
4.0000E-01,7.03278E-08,0.0607
5.0000E-01,5.98846E-08,0.0648
6.0000E-01,5.75996E-08,0.0677
7.0000E-01,5.57643E-08,0.0693
8.0000E-01,5.06347E-08,0.0714
9.0000E-01,5.66384E-08,0.0693
1.0000E+00,4.78830E-08,0.0758
1.1000E+00,4.62258E-08,0.0759
1.2000E+00,4.94793E-08,0.0747
1.3000E+00,4.21589E-08,0.0784
1.4000E+00,4.75660E-08,0.0764
1.5000E+00,4.70736E-08,0.0783
1.6000E+00,3.49209E-08,0.0905
1.7000E+00,3.71706E-08,0.0855
1.8000E+00,3.76649E-08,0.0856
1.9000E+00,3.52396E-08,0.0900
2.0000E+00,3.74565E-08,0.0876
2.1000E+00,3.42497E-08,0.0913
2.2000E+00,3.01569E-08,0.0960
2.3000E+00,3.26973E-08,0.0946
2.4000E+00,3.43316E-08,0.0933
2.5000E+00,3.43848E-08,0.0923
2.6000E+00,2.64607E-08,0.1042
2.7000E+00,2.75776E-08,0.1000
2.8000E+00,2.47936E-08,0.1075
2.9000E+00,1.88241E-08,0.1232
3.0000E+00,1.85201E-08,0.1248
3.1000E+00,2.35307E-08,0.1089
3.2000E+00,2.79183E-08,0.0992
3.3000E+00,2.14786E-08,0.1141
3.4000E+00,2.07208E-08,0.1148
3.5000E+00,1.92634E-08,0.1211
3.6000E+00,1.73792E-08,0.1264
3.7000E+00,1.48387E-08,0.1398
3.8000E+00,1.74478E-08,0.1300
3.9000E+00,1.43960E-08,0.1388
4.0000E+00,1.89062E-08,0.1235
4.1000E+00,2.09241E-08,0.1153
4.2000E+00,1.61970E-08,0.1362
4.3000E+00,1.81468E-08,0.1253
4.4000E+00,1.70810E-08,0.1329
4.5000E+00,1.81952E-08,0.1266
4.6000E+00,1.90978E-08,0.1203
4.7000E+00,1.76677E-08,0.1299
4.8000E+00,1.80514E-08,0.1276
4.9000E+00,2.12509E-08,0.1182
5.0000E+00,1.62637E-08,0.1389
5.1000E+00,1.86480E-08,0.1203
5.2000E+00,2.17411E-08,0.1198
5.3000E+00,1.49460E-08,0.1422
5.4000E+00,1.44721E-08,0.1449
5.5000E+00,1.53869E-08,0.1405
5.6000E+00,1.54131E-08,0.1387
5.7000E+00,1.53682E-08,0.1414
5.8000E+00,1.06504E-08,0.1623
5.9000E+00,8.80367E-09,0.1848
6.0000E+00,1.18820E-08,0.1567
6.1000E+00,9.96294E-09,0.1690
6.2000E+00,1.22796E-08,0.1574
6.3000E+00,6.66494E-09,0.2043
6.4000E+00,4.92219E-09,0.2415
6.5000E+00,8.43789E-09,0.1814
6.6000E+00,1.02024E-08,0.1723
6.7000E+00,8.21535E-09,0.1950
6.8000E+00,9.51873E-09,0.1751
6.9000E+00,1.09472E-08,0.1654
7.0000E+00,9.71259E-09,0.1799
7.1000E+00,7.26777E-09,0.2039
7.2000E+00,8.00388E-09,0.1902
7.3000E+00,4.87015E-09,0.2375
7.4000E+00,4.02340E-09,0.2750
7.5000E+00,4.22045E-09,0.2657
7.6000E+00,4.85488E-09,0.2390
7.7000E+00,5.93994E-09,0.2118
7.8000E+00,3.03775E-09,0.2798
7.9000E+00,1.84093E-09,0.3700
8.0000E+00,2.03314E-09,0.3730
8.1000E+00,2.73873E-09,0.3381
8.2000E+00,2.97014E-09,0.3252
8.3000E+00,2.60165E-09,0.3120
8.4000E+00,3.92719E-09,0.2836
8.5000E+00,3.99950E-09,0.2732
8.6000E+00,4.23837E-09,0.2633
8.7000E+00,2.97675E-09,0.3040
8.8000E+00,2.17862E-09,0.3515
8.9000E+00,2.89266E-09,0.3027
9.0000E+00,2.19722E-09,0.3275
9.1000E+00,1.79187E-09,0.3542
9.2000E+00,1.62913E-09,0.4164
9.3000E+00,1.96589E-09,0.3654
9.4000E+00,1.04138E-09,0.5442
9.5000E+00,1.69365E-09,0.4022
9.6000E+00,7.03419E-10,0.6496
