1tally        4        nps =   802086646
           tally type 4    track length estimate of particle flux.      units   1/cm**2        
           particle(s): neutrons 

           volumes 
                   cell:      80           81           82           83           84           85                  
                         9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01
 
 cell  80                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    1.0000E-01   6.71457E-07 0.0213
    2.0000E-01   3.08894E-07 0.0287
    3.0000E-01   2.81652E-07 0.0301
    4.0000E-01   2.98251E-07 0.0299
    5.0000E-01   2.97604E-07 0.0298
    6.0000E-01   2.88198E-07 0.0306
    7.0000E-01   3.04977E-07 0.0302
    8.0000E-01   2.91593E-07 0.0306
    9.0000E-01   2.95168E-07 0.0305
    1.0000E+00   2.66908E-07 0.0321
    1.1000E+00   2.55990E-07 0.0329
    1.2000E+00   2.61045E-07 0.0330
    1.3000E+00   2.54891E-07 0.0333
    1.4000E+00   2.31033E-07 0.0350
    1.5000E+00   2.37118E-07 0.0348
    1.6000E+00   2.33125E-07 0.0353
    1.7000E+00   2.10326E-07 0.0368
    1.8000E+00   1.99555E-07 0.0381
    1.9000E+00   1.97960E-07 0.0382
    2.0000E+00   1.82731E-07 0.0397
    2.1000E+00   1.84039E-07 0.0397
    2.2000E+00   1.79257E-07 0.0406
    2.3000E+00   1.59918E-07 0.0423
    2.4000E+00   1.63058E-07 0.0426
    2.5000E+00   1.52830E-07 0.0438
    2.6000E+00   1.54630E-07 0.0441
    2.7000E+00   1.42763E-07 0.0453
    2.8000E+00   1.36663E-07 0.0467
    2.9000E+00   1.20594E-07 0.0493
    3.0000E+00   1.10247E-07 0.0522
    3.1000E+00   1.11418E-07 0.0511
    3.2000E+00   1.01415E-07 0.0538
    3.3000E+00   1.03752E-07 0.0529
    3.4000E+00   9.66202E-08 0.0547
    3.5000E+00   8.68852E-08 0.0578
    3.6000E+00   8.72686E-08 0.0586
    3.7000E+00   7.57298E-08 0.0629
    3.8000E+00   6.48656E-08 0.0669
    3.9000E+00   7.22631E-08 0.0646
    4.0000E+00   5.55518E-08 0.0723
    4.1000E+00   5.88703E-08 0.0700
    4.2000E+00   5.93535E-08 0.0707
    4.3000E+00   5.30851E-08 0.0756
    4.4000E+00   5.72354E-08 0.0717
    4.5000E+00   5.43723E-08 0.0759
    4.6000E+00   4.57998E-08 0.0826
    4.7000E+00   3.91484E-08 0.0859
    4.8000E+00   3.68860E-08 0.0884
    4.9000E+00   3.79885E-08 0.0888
    5.0000E+00   3.44347E-08 0.0935
    5.1000E+00   2.77922E-08 0.1010
    5.2000E+00   3.23463E-08 0.0971
    5.3000E+00   3.15276E-08 0.0982
    5.4000E+00   3.09421E-08 0.0981
    5.5000E+00   2.40181E-08 0.1102
    5.6000E+00   2.29084E-08 0.1143
    5.7000E+00   2.37220E-08 0.1144
    5.8000E+00   2.57847E-08 0.1105
    5.9000E+00   1.60135E-08 0.1344
    6.0000E+00   1.94780E-08 0.1221
    6.1000E+00   1.79153E-08 0.1319
    6.2000E+00   1.47792E-08 0.1410
    6.3000E+00   1.51399E-08 0.1427
    6.4000E+00   1.18195E-08 0.1560
    6.5000E+00   1.16452E-08 0.1550
    6.6000E+00   1.45680E-08 0.1435
    6.7000E+00   1.18618E-08 0.1613
    6.8000E+00   1.26045E-08 0.1565
    6.9000E+00   1.12078E-08 0.1717
    7.0000E+00   8.64692E-09 0.1887
    7.1000E+00   1.39349E-08 0.1532
    7.2000E+00   8.47586E-09 0.1900
    7.3000E+00   7.64128E-09 0.1983
    7.4000E+00   9.65866E-09 0.1807
    7.5000E+00   7.54802E-09 0.1936
    7.6000E+00   7.65057E-09 0.1942
    7.7000E+00   5.65191E-09 0.2244
    7.8000E+00   5.37808E-09 0.2347
    7.9000E+00   5.60512E-09 0.2285
    8.0000E+00   2.90345E-09 0.2974
    8.1000E+00   4.67457E-09 0.2547
    8.2000E+00   3.99896E-09 0.2750
    8.3000E+00   4.59549E-09 0.2509
    8.4000E+00   6.06487E-09 0.2298
    8.5000E+00   3.04254E-09 0.3016
    8.6000E+00   4.41668E-09 0.2558
    8.7000E+00   4.24042E-09 0.2636
    8.8000E+00   2.41445E-09 0.3422
    8.9000E+00   1.87960E-09 0.3836
    9.0000E+00   3.91099E-09 0.2763
    9.1000E+00   2.96030E-09 0.3278
    9.2000E+00   2.17135E-09 0.3657
    9.3000E+00   3.31455E-09 0.3009
    9.4000E+00   2.18350E-09 0.3714
    9.5000E+00   2.56524E-09 0.3592
    9.6000E+00   2.50260E-09 0.3533
    9.7000E+00   1.21173E-09 0.5052
    9.8000E+00   2.13179E-09 0.3738
    9.9000E+00   1.16135E-09 0.5354
    1.0000E+01   1.48009E-09 0.4025
    1.0100E+01   1.39437E-09 0.4187
    1.0200E+01   1.23456E-09 0.4551
    1.0300E+01   8.92578E-10 0.5934
    1.0400E+01   1.80502E-09 0.4407
    1.0500E+01   7.28930E-10 0.6356
    1.0600E+01   1.32568E-09 0.4764
